train set,c0,"c1,1","c1,2",rmse,kfold rmse
gov,9.632129719954422,24.303555815977703,-13.86239544107188,13.857375741019752,13.868620953597965
bible,7.015442150576731,10.290744588997073,-5.611640798381741e-10,11.814101722213348,11.826680095797233
