model,pareto,rawlsian,all
linear,False,False,4.578567884468892
poly2,False,False,4.384032060545079
poly3,False,False,4.216812594562883
exp,False,False,4.462113658297815
log,False,False,4.681485691526149
power,False,False,6.825513613721133
hmult,False,False,4.682750582681467
mult,False,False,5.713627267702084
am,False,False,13.385978201603551
gm,False,False,13.55708544457523
hm,False,False,13.700372239069171
linear+linear+poly2,False,False,4.578566037520862
linear+linear+poly3,False,False,4.578563205209979
linear+linear+exp,False,False,4.8765740849297305
linear+linear+log,False,False,4.578564604911401
linear+linear+power,False,False,4.8765740849297305
linear+linear+hmult,False,False,4.614700490621376
linear+poly2+linear,False,False,4.437611690460714
linear+poly2+poly2,False,False,4.437615260236241
linear+poly2+poly3,False,False,4.437611999285979
linear+poly2+exp,False,False,4.698338471233281
linear+poly2+log,False,False,4.437609030732423
linear+poly2+power,False,False,4.698338471233281
linear+poly2+hmult,False,False,4.437595461298493
linear+poly3+linear,False,False,4.359998172950865
linear+poly3+poly2,False,False,4.359978401727845
linear+poly3+poly3,False,False,4.3599975707205605
linear+poly3+exp,False,False,4.588771221133469
linear+poly3+log,False,False,4.359999384247256
linear+poly3+power,False,False,4.588771221133469
linear+poly3+hmult,False,False,4.390410397511019
linear+exp+linear,False,False,12.980916839941669
linear+exp+poly2,False,False,12.980918659176766
linear+exp+poly3,False,False,12.98092578357777
linear+exp+exp,False,False,12.98387378162544
linear+exp+log,False,False,12.980923442616389
linear+exp+power,False,False,12.979286576574497
linear+exp+hmult,False,False,12.98093044068661
linear+log+linear,False,False,4.72731171983021
linear+log+poly2,False,False,4.727313652536852
linear+log+poly3,False,False,4.727309701542308
linear+log+exp,False,False,4.974269434172809
linear+log+log,False,False,4.727311138924504
linear+log+power,False,False,4.974269434172809
linear+log+hmult,False,False,4.754479444677196
linear+power+linear,False,False,6.572798196943699
linear+power+poly2,False,False,6.573356753428373
linear+power+poly3,False,False,6.572997186559017
linear+power+exp,False,False,6.704819481454517
linear+power+log,False,False,6.573165468503883
linear+power+power,False,False,6.557597897875352
linear+power+hmult,False,False,6.753524473476103
linear+hmult+linear,False,False,6.572910720329569
linear+hmult+poly2,False,False,6.573411382613386
linear+hmult+poly3,False,False,6.572974833788389
linear+hmult+exp,False,False,6.789338889189013
linear+hmult+log,False,False,6.573257389582148
linear+hmult+power,False,False,6.789338889189013
linear+hmult+hmult,False,False,6.613716034270324
