model,mean,min,25%,50%,75%,max
linear,4.578567884468892,4.578567884468892,4.578567884468892,4.578567884468892,4.578567884468892,4.578567884468892
poly2,4.384032060545079,4.384032060545079,4.384032060545079,4.384032060545079,4.384032060545079,4.384032060545079
poly3,4.216812594562883,4.216812594562883,4.216812594562883,4.216812594562883,4.216812594562883,4.216812594562883
exp,4.462113658297815,4.462113658297815,4.462113658297815,4.462113658297815,4.462113658297815,4.462113658297815
log,4.681485691526149,4.681485691526149,4.681485691526149,4.681485691526149,4.681485691526149,4.681485691526149
power,6.825513613721133,6.825513613721133,6.825513613721133,6.825513613721133,6.825513613721133,6.825513613721133
mult,5.713627267702084,5.713627267702084,5.713627267702084,5.713627267702084,5.713627267702084,5.713627267702084
hmult,4.682750582681467,4.682750582681467,4.682750582681467,4.682750582681467,4.682750582681467,4.682750582681467
am,13.385978201603551,13.385978201603551,13.385978201603551,13.385978201603551,13.385978201603551,13.385978201603551
gm,13.55708544457523,13.55708544457523,13.55708544457523,13.55708544457523,13.55708544457523,13.55708544457523
hm,13.700372239069171,13.700372239069171,13.700372239069171,13.700372239069171,13.700372239069171,13.700372239069171
