model,pareto,rawlsian,1k-flores,1k-bible,1k-gov,10k-flores,10k-bible,10k-gov,25k-flores,25k-bible,25k-gov,50k-flores,50k-bible,50k-gov
linear,True,False,2.3859909748649835,8.479406978111221,9.68517669666594,5.446320381375709,13.21431627741067,17.141677251222962,6.541304458667092,15.064375565619503,19.044711267258595,3.0206873513900696,0.9319553630918116,10.252067432656036
poly2,True,False,2.384731576346269,8.481052124687512,9.685171262382791,5.448371514312337,13.217972986664872,17.150237035348617,6.5428030535983,15.069177271482651,19.054911885175866,3.057910000290708,0.954779029211038,10.042154358879204
poly3,True,False,2.3840825358919995,8.47861686469825,9.68423819905312,5.442169836458073,13.21767650459051,17.1552315835434,6.537496119366078,15.062985682510904,19.04887578727057,3.141504431898909,0.9296156630815734,10.60788999904647
exp,True,False,2.3812521363512955,8.50719443176345,9.70686585996962,5.469176309542872,13.248160471470106,17.177539823991562,6.567193719516942,15.099700335884922,19.0805240730317,2.7757308395028946,0.932315784280314,16.480527975828313
log,True,False,2.398202426976665,8.50049390518033,9.694913373956377,5.465829622389995,13.241620747042674,17.167498549932102,6.562878511726884,15.092742623546332,19.070385395181653,3.133224848059571,0.797290414630368,10.612596930370076
power,True,False,2.3954463567744044,8.510742823380587,9.702930120457603,5.478517523547037,13.253837432645994,17.17809754365551,6.577223186436155,15.105275017192294,19.08022925230004,2.8533067802147136,0.7749016590088654,11.48643131052273
hmult,True,True,2.398519169371609,8.487849776596834,9.693361905141384,5.467718065621075,13.2153887432759,17.116574479478118,6.561165838511393,15.058190872406348,19.010989996014978,2.728957927909279,0.8775504077183668,8.418798500891711
