,models,Normality p-value,AIC of centered model,BIC of centered model,LogLikelyhood,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,58.64776902599534,60.53958932410596,-28.32388451299767,0.20172638247358687,0.30935749426565623,0.34044767365944123
1,poly2,,58.77954279598816,60.67136309409878,-28.38977139799408,0.1865566864375714,0.22654700521379978,0.26431109039160233
2,poly3,,58.551998718283535,60.44381901639416,-28.275999359141768,0.2125735691005327,0.00022067155834821594,0.00739418487203753
3,exp,,58.35074779443188,60.242568092542506,-28.17537389721594,0.23488984779082078,0.7625034474140111,0.792494057096304
4,log,,59.1688998965141,61.06072019462472,-28.58444994825705,0.1400289851618961,0.03999057688817654,0.027002124840878706
5,power,,58.81732520622524,60.709145504335865,-28.40866260311262,0.1821542662683412,0.08335316128459508,0.14636467707743997
6,mult,,58.81732520622524,60.709145504335865,-28.40866260311262,0.1821542662683412,0.08335316128459508,0.14636467707743997
7,hybrid_mult,,58.662743390375304,60.55456368848593,-28.331371695187652,0.20001689179808124,0.22517988232955283,0.2642960051381875
8,scaling,,58.817331126369204,60.70915142447983,-28.408665563184602,0.18215357458740833,0.0833549147582656,0.1463675691226854
