train set,train set size,test set,c0,c1,rmse,kfold rmse
gov,1,flores,3.088370504485274,0.8790846501171853,2.1828495027088555,2.690726249924795
gov,1,bible,0.09051535559123264,4.642547744716053,0.7078795642679377,0.943165050634032
gov,1,gov,12.045503758508774,1.0208836931047298,3.1524807976606293,3.338222994790672
gov,10,flores,13.603266732076136,-0.31067176100691013,3.421182510629691,4.37074714246576
gov,10,bible,1.3798674305204668,0.862209922931984,1.244928590133194,1.5679131036131337
gov,10,gov,32.05179833200916,0.1804920093039532,3.699537269905219,3.7232237208759256
gov,25,flores,15.519352386467533,-0.18597209842823934,3.8834659658727326,4.987244755158237
gov,25,bible,1.3695885819579463,1.3197512059649477,1.3818493837618606,1.7308119142892295
gov,25,gov,36.03776276364739,0.15173068539109272,4.415316791403695,4.4605282801167885
gov,50,flores,40.03509580682516,-2.4092016816684985,1.8183023004109458,3.884722663664105
gov,50,bible,12.956029351429285,-4.249895298282555,0.5501676749614319,0.7892950554110169
gov,50,gov,40.116098552210225,0.12174827342692711,5.313032254524654,32.91273169112425
bible,1,flores,0.48534377269901363,1.82425552615714,0.5099686253548597,0.6254982202973524
bible,1,bible,17.359883584049403,-0.044105768320746384,3.0580344368109746,3.079743120296802
bible,1,gov,0.40325662375250126,1.017033756295648,0.37727606403916303,0.46403722132138686
bible,10,flores,1.2615486414342503,1.2993392951448806,0.7680093244093696,1.012032394849251
bible,10,bible,30.602014337288722,-0.2275345127489635,3.518986332954286,3.5189935667466044
bible,10,gov,0.7493530105584552,1.210236557794614,0.66339629335743,0.836250184769657
bible,25,flores,1.4675654890901149,1.2727520017759468,0.7815414052555856,1.0168718472986822
bible,25,bible,35.10552382822963,-0.22383822821097588,3.6662337720504565,3.6771990557512217
bible,25,gov,0.6679574953013988,1.7368016690788177,0.7517001562819561,0.9850693795822041
