train set,test set,language to,c0,"c1,1","c1,2",rmse,kfold rmse
gov,flores,ka,0.7555427124583887,1.482226522737889,-0.03777793797561215,1.0091033013826182e-05,3.2241934632658142
gov,flores,gu,6.50646833592168,1.3250969268456987,-0.031574235123831965,1.0144606849729716e-05,19.335357363548226
gov,flores,hi,6.8949288157307596,0.6593858090902083,-0.008427424459001239,1.18438994865762,5.183250294740132
gov,flores,si,3.8998136581521674,0.4805018901691697,-0.006299571320278129,0.718780144632597,3.1456016408859053
gov,flores,ta,2.730130959551993,0.37997962364025895,-0.004215368356287624,0.6334849009590864,2.772326312457907
gov,bible,ka,0.11665382360068963,0.18833763389799058,-0.005000160199920765,1.009116518491585e-05,0.33824267986236084
gov,bible,gu,2.0546223655750095,0.2510222783358954,-0.00564829601854098,9.78772283874449e-06,6.772689998418304
gov,bible,hi,1.0701043952529508,0.1713088763607715,-0.0025148731797144863,0.29917227050374895,1.3092816009481718
gov,bible,si,0.21618463594507914,0.060514445966395915,-0.0007033418828734078,0.09519844222408942,0.41663474993747707
gov,bible,ta,0.256144976115412,0.05796607238742186,-0.0006229578860723502,0.01693129588790078,0.07411606038230899
gov,gov,ka,9.156468898203428,2.9200968604298403,-0.07657423338654118,1.0036962462075727e-05,23.005285299042384
gov,gov,gu,20.876839055215115,1.7665783553397112,-0.04342608540843512,1.0045991257196695e-05,71.9362846724198
gov,gov,hi,20.259283240910964,1.0470905128939856,-0.01450307414127999,1.9932572038001557,8.723056318976601
gov,gov,si,22.5256699754307,1.6609160458052736,-0.022641483743900234,3.085164106732525,13.50153985479231
gov,gov,ta,20.48775363314746,1.2052658975731052,-0.016151233655490503,2.4753190869356683,10.832692031493297
bible,flores,ka,0.30646864167479854,0.19843022586766987,-0.004907567587378924,1.0089918308118752e-05,0.3691491809571195
bible,flores,gu,1.7277649426998811,0.2794487440168584,-0.007222382395439339,1.0089514044431048e-05,5.422774504372222
bible,flores,hi,1.3509133598095548,0.1528746264115466,-0.0037964551488573273,1.0007792816477973e-05,4.501499784661317
bible,flores,si,0.6638759484738345,0.139726041063093,-0.0036112517882081166,8.941811065415007e-06,1.9548691686308042
bible,flores,ta,0.6851721858166746,0.11741052556943915,-0.002592703430962075,7.502994835997512e-06,2.1244570101202798
bible,bible,ka,10.572208767348213,1.7705599207049345,-0.04277793954911783,1.0192417368694217e-05,32.94081191054215
bible,bible,gu,15.027784012551088,1.3027790830728199,-0.030555626010681118,8.80090692418683e-06,51.65840389811057
bible,bible,hi,17.22128350183792,1.4110227990629947,-0.03231497427144421,1.0044364439525215e-05,59.525089189439676
bible,bible,si,19.736110364516005,1.9102801622587522,-0.046388991448971316,8.055655579082369e-06,67.04903750002413
bible,bible,ta,14.756473341450466,1.5800961426777667,-0.036574211633879534,8.873188005273602e-06,49.527946975012895
bible,gov,ka,0.22683901436862455,0.07491170711062523,-0.001759419433544026,1.0089569703050114e-05,0.5599136927377005
bible,gov,gu,1.0249868814208567,0.17916896923463108,-0.004166746588215718,7.1343587738140665e-06,3.1639284314459233
bible,gov,hi,0.8740615979516381,0.12963389258357183,-0.003703863007845695,1.0037997150736399e-05,2.7900980433244524
bible,gov,si,0.33980186134331,0.06176283261416472,-0.0015742038768172322,8.346699940056213e-06,1.0395201509600984
bible,gov,ta,0.2398019814503404,0.061763558511928995,-0.0015742342371247336,1.008887906475469e-05,0.6613067374865613
