model,pareto,rawlsian,all
poly3+hmult+linear,False,False,6.854928359156761
poly3+hmult+poly2,False,False,6.817998132219643
poly3+hmult+poly3,False,False,6.798595105631915
poly3+hmult+exp,False,False,6.83526757095453
poly3+hmult+log,False,False,6.81290779817742
poly3+hmult+power,False,False,6.83526757095453
poly3+hmult+hmult,False,False,6.8210469632428685
exp+linear+linear,False,False,4.620288967326266
exp+linear+poly2,False,False,4.595886119073915
exp+linear+poly3,False,False,4.750817266909922
exp+linear+exp,False,False,4.894971404951965
exp+linear+log,False,False,4.610242837420557
exp+linear+power,False,False,4.894971404951965
exp+linear+hmult,False,False,4.84820590909863
exp+poly2+linear,False,False,4.606665813557724
exp+poly2+poly2,False,False,4.534243668010427
exp+poly2+poly3,False,False,4.487381932469524
exp+poly2+exp,False,False,4.9513772750719545
exp+poly2+log,False,False,4.629440349104366
exp+poly2+power,False,False,4.9513772750719545
exp+poly2+hmult,False,False,4.84568380171327
exp+poly3+linear,False,False,4.448968875021353
exp+poly3+poly2,False,False,4.505744461493924
exp+poly3+poly3,False,False,4.4157729110791415
exp+poly3+exp,False,False,4.798513689054253
exp+poly3+log,False,False,4.428075730678073
exp+poly3+power,False,False,4.798513689054253
exp+poly3+hmult,False,False,4.696619006042348
exp+exp+linear,False,False,13.009634362784835
exp+exp+poly2,False,False,13.009486236328032
exp+exp+poly3,False,False,13.01678978212592
exp+exp+log,False,False,13.03705847188471
exp+exp+power,False,False,13.05199616136648
exp+exp+hmult,False,False,13.054288548342711
exp+log+linear,False,False,4.728621683567883
exp+log+poly2,False,False,4.824189295040427
exp+log+poly3,False,False,4.772404707112991
exp+log+exp,False,False,5.166245623970172
exp+log+log,False,False,4.846640624989276
exp+log+power,False,False,5.166245623970172
exp+log+hmult,False,False,5.166244182050767
exp+power+linear,False,False,6.611873123872856
exp+power+poly2,False,False,6.616435287284547
exp+power+poly3,False,False,6.608320867094859
exp+power+exp,False,False,6.850854042037563
exp+power+log,False,False,6.628616875739255
exp+power+power,False,False,6.6078180364224695
exp+power+hmult,False,False,6.879119608783148
exp+hmult+linear,False,False,6.607921996622972
exp+hmult+poly2,False,False,6.611652442523807
exp+hmult+poly3,False,False,6.606511394055057
exp+hmult+exp,False,False,6.849397497426305
exp+hmult+log,False,False,6.612123871723445
exp+hmult+power,False,False,6.849397497426305
exp+hmult+hmult,False,False,6.86457321799743
log+linear+linear,False,False,4.467546827535878
log+linear+poly2,False,False,4.46754703869411
log+linear+poly3,False,False,4.467542826500438
log+linear+exp,False,False,4.8101214792946045
log+linear+log,False,False,4.467546919442226
log+linear+power,False,False,4.8101214792946045
log+linear+hmult,False,False,4.5606728308143
log+poly2+linear,False,False,4.33954272186171
log+poly2+poly2,False,False,4.339546468306816
