train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c2,1","c2,2","c3,1","c3,2",rmse,kfold rmse
cc_align,25,gov,1,flores,128.92201659316373,169.81852755453528,-403.1554340167321,373.7220650230556,-373.73626778668944,-570.3443473784818,406.60078579229133,4.061833913135457e-09,7.9040095496414695
cc_align,25,gov,1,bible,39.16356720941074,-30.439781958855388,-38.925573376549195,95.37944468289041,-92.22556002986711,-108.164964406307,77.49911025193778,5.151475510374745e-14,1.6169507409184025
cc_align,25,gov,1,gov,-5.5456222917975495,900.5725953547196,-999.8625006835427,497.9445125934791,-500.4722560772583,-848.0525618890972,612.1102398864894,2.9173541464289265e-10,11.33283619937201
cc_align,25,gov,10,flores,173.78151192937636,141.20474780404268,-549.036039004192,167.3811870652479,-151.63122492837775,-438.1643145608769,332.264768603133,7.467040162006705e-14,6.2526247081115445
cc_align,25,gov,10,bible,87.1004165885816,-68.14671764299742,33.75380234525586,114.76519264847911,-108.90244418824379,-242.5518269067884,165.34140518707687,1.6729850537548227e-11,3.1385034410046684
cc_align,25,gov,10,gov,288.29924515825576,-525.1547917695328,499.89767945179267,450.191125188056,-469.2451335781037,-667.2647554997169,503.1452294482128,1.1209202212291667e-08,11.426365954076148
cc_align,25,gov,25,flores,221.5730758060135,-194.71260117003223,-216.60264667187036,171.82876526382532,-159.88040670328746,-326.78845280881745,251.9726375672125,3.173826666530776e-09,5.52953516342049
cc_align,25,gov,25,bible,167.36023691060626,-247.38496941309492,196.32273638314055,2.440366197265646,14.26638164159678,-273.2217120709453,195.41403812714108,1.7185385685233947e-11,3.5959824813316796
cc_align,25,gov,25,gov,64.67513836394377,369.3449476197752,-417.04538342155763,456.0580878335102,-476.9181554550495,-650.7671717484349,496.74769110221513,3.334999217196672e-09,3.52499072947328
cc_align,25,gov,50,flores,28.07406781534794,12.041227708315667,-0.4364595632099458,-7.456993270473883,-12.432200680764549,-5.2808421092928635,-18.033731676092803,8.314606484104259e-11,0.8273143533557126
cc_align,25,gov,50,bible,4.9220072796873495,2.3234583341223267,0.9205153662148121,1.8020924100440516,0.4266305374713273,-2.3267373205340207,-4.620622552270464,1.112956581539785e-09,0.4756388883979954
cc_align,25,gov,50,gov,14.433521534685134,-6.1068286179119715,6.155339534587443,5.7098304000672115,-28.458149543154157,20.024511641533472,39.516603824813245,1.3445679287468128e-08,4.539085733623232
cc_align,25,bible,1,flores,79.58989348184353,-100.40142304515292,59.017157666943106,103.20392639182604,-99.99178592733357,-192.36102427755975,133.97722203353206,2.2160446066791267e-11,1.928070373302983
cc_align,25,bible,1,bible,361.38703984064705,-839.3205783715472,920.3542110615521,561.9912556183158,-589.5011156459354,-793.5920057396794,556.2356935196227,0.12385551606445082,8.086458676863774
cc_align,25,bible,1,gov,52.63089401383762,-22.584039005084602,-17.950333728416403,56.07198092934152,-54.0000517602035,-144.17546213345497,102.45311403572286,1.719478782454163e-09,1.7024468598151157
cc_align,25,bible,10,flores,99.10542885998935,-41.78131110574686,-53.35582648547788,-11.744455110016064,25.770737360357522,-193.26422632071626,145.04937176200158,1.3516088236745765e-09,1.9076299992736077
cc_align,25,bible,10,bible,244.2720707461574,-394.8247670642086,532.6176584519809,605.1108893641224,-645.4266990236581,-809.4999389005826,568.6451913278107,2.197535981275995e-10,14.231229145297991
cc_align,25,bible,10,gov,30.063372662846053,170.29939658235276,-258.17218236247237,110.54636651193023,-105.32355834695996,-226.55580523093002,163.86454715947136,1.791373580409464e-10,2.7935611402747345
cc_align,25,bible,25,flores,68.23244335071517,-35.86478358430892,-46.544886174054895,46.780919744471376,-36.075612148856266,-146.71052579256258,106.08879647380937,3.150502975367221e-10,1.945131684074489
