,mean,std,min,25%,50%,75%,max
linear,4.843886118729982,,4.283727744076717,4.296268339739814,4.934996310859762,5.207587798821618,5.496850400151996
poly2,4.324403865059865,,3.89863225056747,4.190983979051143,4.28652451353727,4.333086313412296,4.912792268731145
poly3,3.978195847741894,,3.507390288231484,3.890692417109171,4.057949201813736,4.124414740350651,4.310532591204428
exp,4.787510219628215,,3.80254125499344,4.3606582464021,4.787032028872114,5.025731618038819,5.961587949834605
log,4.832974056272152,,3.694680689657457,4.273115692591032,4.810204479344199,5.075391146289398,6.311478273478676
power,5.493419697575475,,3.4502070068193804,4.444078051913216,6.032823547753606,6.253172279099101,7.286817602292074
mult,5.427403529436792,,3.3475858162748064,4.216934790697591,6.021871450084935,6.257119103814126,7.293506486312498
hybrid_mult,5.79730543692706,,3.5975081357322867,4.2324976466534245,6.365094128047901,6.832856946417893,7.958570327783795
am,9.469648820215063,,8.512917877299056,8.875626092732338,9.143856554321127,9.204832401456402,11.61101117526639
gm,9.697710791336604,,8.827759912647645,9.23957855660069,9.306587055198465,9.455970588212152,11.658657844024068
hm,9.897547033411081,,8.982576684813347,9.303725014072858,9.537046969748516,9.73358385974296,11.930802638677728
