,mean,std,min,25%,50%,75%,max
linear,5.302266727465579,,4.401743628666295,4.677253051152976,5.517708391376967,5.6179914531212285,6.296637113010427
poly2,4.68015324118329,,4.263491723818048,4.396539690817032,4.655305597516509,4.678011025760038,5.407418168004821
poly3,4.298176258448132,,3.816827565374162,4.171034684484631,4.315005405807272,4.54297449421623,4.645039142358368
exp,4.97648718032433,,4.004971625376549,4.675824742761367,4.953487663164256,5.137665628555664,6.110486241763815
log,5.109422776436405,,4.4110716349536165,4.745767978464792,4.822752073288956,5.192724902526072,6.374797292948594
power,5.49015749162658,,3.3742630979176385,4.50354753366802,6.032821015952795,6.25333519537253,7.28682061522192
mult,5.49015749162658,,3.3742630979176385,4.50354753366802,6.032821015952795,6.25333519537253,7.28682061522192
hybrid_mult,5.924972486825713,,3.603949086236784,4.548817098973552,6.4566160863763375,6.971944691519859,8.043535471022034
am,5.302266727465579,,4.401743628666295,4.677253051152976,5.517708391376967,5.6179914531212285,6.296637113010427
gm,5.302266727311714,,4.401743629060985,4.6772530510783445,5.517708389916553,5.617991453179376,6.296637113323315
hm,5.302266727341528,,4.401743628962438,4.677253051152976,5.517708390477392,5.6179914531212285,6.2966371129936025
