test set,language to,c0,c1,c2,rmse,kfold rmse
flores,ka,1.7188432528883832,0.1854170943920035,-1.0629621077880147,4.540206924336721,4.959175028577238
flores,gu,4.9237194111114375,0.06385109470763964,-0.39732538112026067,6.083165934511075,6.507990303028955
flores,hi,2.793892907661521,0.0,-0.45588077825646695,5.411893713978521,5.671763165961402
flores,si,1.6210037896804141,0.0,-0.49054263232514067,3.440566054851669,3.6026949822463115
flores,ta,0.9362512579506854,0.0,-0.6112868098915595,2.5904429497263814,2.741030962503
bible,ka,6.368042594680621,0.07113519794183294,-0.38881253551531647,10.596010308878817,11.337350363891012
bible,gu,9.220211426135627,0.02295739227626484,-0.2143561421972689,9.994855197577957,10.678857482738337
bible,hi,11.790542021300155,0.5509718356415774,-0.3216133465269448,12.183070427426719,12.680347077299272
bible,si,13.327948309354703,0.6257851320722697,-0.3056642038285238,15.720310924538305,16.31501790771976
bible,ta,10.207627332252944,0.548994774472516,-0.35148484258731166,12.422693156236539,12.89407942911347
gov,ka,6.939528802831176,0.2039148559751593,-0.6707398178456098,13.355459484002276,14.637452605093252
gov,gu,11.907477666001492,0.04879694249182235,-0.2233429838357813,14.984130374809887,16.033787526848872
gov,hi,7.442851646649221,0.0,-0.3591697759136849,13.723253255479849,14.325952932317461
gov,si,7.009667101107125,0.0,-0.4582949409120282,18.14755431896287,18.933992530122143
gov,ta,6.431798110213177,0.0,-0.42578846319290614,15.161066921114084,15.8179473668856
