train set size,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3","c3,1","c3,2","c3,3","c4,1","c4,2","c4,3","c5,1","c5,2","c5,3","c6,1","c6,2","c6,3",rmse,kfold rmse
1,6.833843249338175,2.8916608189389366,1.1396938426573266e-05,1.2109790081433068e-05,1.3425580309485127e-06,2.6155426745444154e-06,2.858131892017714e-07,1.8814665116769247,1.196644590149561e-05,1.9125340815264476e-05,2.2525261561564154,3.122434047017345e-06,9.067649998119258e-07,6.964221733225284e-07,-5.006193414223863e-06,-4.378573693968818,-9.263683287876559e-07,7.42852699939388e-06,-2.186866897294407e-06,8.032530204067575,8.0409194877501
10,12.730819750655535,2.084749372866762,1.9206689221161072e-05,8.168458819551458e-06,-6.008784342389696e-06,4.243430959516892e-06,4.12082231987406e-06,5.673821018782508e-06,-5.1373057219238705e-06,1.799102110682915e-06,3.682462596027611,0.01032243449648978,0.0012976290067969573,0.0006601760032141386,-3.6100372668398925e-07,-3.779715538180751,3.389066725284047e-07,9.238830466045392e-06,-2.3589869632470376e-06,13.5128932794046,13.52971966652006
25,14.033788326836204,2.434511546152805,0.0005257374995669298,-1.6742077514339344e-06,5.422391567467718e-06,3.074269935729842e-05,-1.6529787231495897e-06,1.767241908307257e-06,3.3043142074279103e-07,-8.427507227792517e-06,4.219524870312126,0.10713338688088962,2.344792545116916e-05,3.610714590585249e-05,-1.8788497903354946e-06,-3.7889419152902395,2.7247267296409116e-07,3.101335776584645e-07,-1.254358332467469e-05,15.135912851855979,15.151131239840808
50,17.506759714596043,-1.7128467623205697e-05,1.5853970540106927e-06,-6.433731379092889e-06,7.425141922311068e-05,3.143153610614423e-05,-2.182814009792349e-05,-0.5000243627664046,-3.9602189372787544,-0.0001371971822040029,5.288763480923206,0.00078962632172271,0.06189444014260463,5.269358884847411e-06,2.2475909969965594e-05,-0.8034381943723613,2.225127248339988e-05,9.916119331654358e-06,-1.0163199239825336e-05,17.20071123104214,17.719537284110956
