model,none,train,test,train+test
linear,13.70035847409252,13.25007736791244,12.016031651911002,4.092308894305263
poly2,13.700358801979354,13.250077496201719,12.016031786371078,4.092309053549084
poly3,13.70035879366576,13.250077398001494,12.0160316091182,4.092308852851677
exp,13.70035867774122,13.250077430143607,12.01603147576968,4.092308714930055
log,13.700358627570465,13.2500774541679,12.016031858483439,4.092308846195583
power,13.70035891060122,13.250077535994201,12.016031560885262,4.092308832003229
hmult,13.709151020800922,13.256303005448839,12.045709720647897,4.189205664126915
