train set,c0,c1,c2,rmse,kfold rmse
gov,13.288768428001339,-2.4884864073346957e-06,-2.12489187220179e-09,14.597792248637074,14.843308331514928
bible,7.017138546636112,-2.952903842902744e-08,-1.8807057836707377e-09,12.280106178853286,12.234343527241784
