model,none,lang
linear,4.892621919491597,4.330704240610677
poly2,4.856454936321232,4.247640850475572
poly3,5.448555992870165,5.050707552959911
exp,4.872553804441175,4.099799192134371
log,4.953299262302126,4.165751857698393
power,6.810467971458982,5.665140580730766
mult,6.10123828075599,5.1241494568662365
hmult,6.470918702693543,5.4512966450595775
am,13.279723238520695,13.044366726459728
gm,13.358353702361246,13.029334045068925
hm,7.66109528648785,7.252733219866462
diff,4.891730543659053,4.350154232859641
