train set size,test set,c0,c1,rmse,kfold rmse
1,flores,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,6.4074426120280705,-3.285557870499302e-09,8.770207787631495,9.045281877667495
1,gov,7.384892568939591,-2.6193068393321374e-09,9.946077782196937,9.731969113953044
10,flores,4.495256683819488,2.8602911812971376e-09,5.973467022520377,5.73319073574411
10,bible,12.595041563196224,-1.7262620492448702e-09,13.269146106206826,13.628209996654752
10,gov,15.525537507159804,-2.1954551934491017e-09,17.13039498625574,16.951388233768736
25,flores,5.949845583380331,-1.49637411043703e-09,6.940840879273579,6.71621184590693
25,bible,14.855649848970524,7.521882610536741e-09,15.073246783221487,15.383056738536927
25,gov,17.428032747649706,-1.6277462833127538e-09,19.00311378663524,18.82562733711823
50,flores,11.699147415045987,-2.471075002582312e-10,4.235673537822908,3.5030302139444545
50,bible,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,39.83469101298777,-7.965330469896155e-10,5.892829173678599,5.66766452241233
