train set,train set size,test set,c0,c1,c2,rmse,kfold rmse
gov,1,flores,6.64988872252075e-05,-16.620121186137737,1.248363337339603,1.3746462390739453,1.3844321294967006
gov,1,bible,1.1214924422968794e-13,-43.669143760721646,3.2365385175700143,0.14176503979424243,0.14248124464222034
gov,1,gov,34.37396226624236,0.2908411638300514,0.45908030508844416,3.1090874523373295,3.1570728029847186
gov,10,flores,0.0030313766901884573,-11.972264669067602,0.5773772461495575,1.092351669780978,1.1419840885426007
gov,10,bible,2.4819817411697827e-09,-29.748708241555388,1.6399312165657227,0.29735506869456746,0.2973960230552217
gov,10,gov,316.2137543079308,3.165770912768393,-0.10866967322611558,2.4823897512922652,2.601636516052963
gov,25,flores,0.006785487013259669,-11.134569143210005,0.581521236828589,1.2541894904144724,1.3148779012615797
gov,25,bible,1.3600517246504821e-07,-24.591767826214475,1.612272729737252,0.39225885037809977,0.39226574630673217
gov,25,gov,406.9782845922467,3.4051155578452956,-0.1394303544292114,2.9854935484742984,3.1404957945037055
gov,50,flores,0.1276541366647585,-6.353037774429978,-0.17258415698822835,2.5121479338940403e-15,3.552713678800501e-15
gov,50,bible,0.00012357866523239963,-14.043393873804492,0.40084187388088177,3.1401849173675503e-16,3.1401849173675503e-16
gov,50,gov,999.9999999999993,5.05109458084226,-0.529604855302359,1.338418076603244,1.3601225619381176
bible,1,flores,3.428847066037095e-05,-15.913118032136751,1.5313895536988922,0.2649568471055649,0.275070068430724
bible,1,bible,140.48968661139668,3.0812972483493284,-0.16259707733599005,2.479934665222656,2.9979292087625993
bible,1,gov,2.0465789653766202e-08,-25.2188793606113,1.5414591802667479,0.17086212010717045,0.17234719101210583
bible,10,flores,0.00037395971099412316,-13.368792693239975,1.2884779836320148,0.2339540798104459,0.34823762256776547
bible,10,bible,299.6293281584214,3.6117008814665166,-0.29511118981689255,2.1771754256006144,2.8230901992638184
bible,10,gov,7.20774116694875e-07,-21.33548011335063,1.5106864271359535,0.23897097976545015,0.2530749038201085
bible,25,flores,0.001187681919961194,-11.854345192630626,1.1730268514190332,0.19868478861284977,0.20565224802937868
bible,25,bible,376.9389228567185,3.793676706468491,-0.33717204823840047,2.2469271536374578,2.2950210717024455
bible,25,gov,1.0807450219840497e-06,-21.21555956559487,1.7461918405231949,0.22301629421272523,0.22618174023669946
