train set 1,train set 1 size,train set 2 size,language to,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
cc_align,25,1,ka,-3.8218809878438984,263.7617982581003,-999.9999999999999,978.3055020893142,0.46076601195690514,0.46082051046543016
cc_align,25,1,gu,-3.80965575132785,293.50363716932645,-999.9999999999999,879.3109703761908,1.3650410623824103,1.3653485680876367
cc_align,25,1,hi,-0.2615120238245763,271.0368374451377,-999.9999999999999,933.3330991144999,0.1031143115528685,0.12353002909758654
cc_align,25,1,si,1.2281661423637575,280.55013015023894,-999.9999999999842,884.7417292789888,1.064349210104123,1.0799968581838557
cc_align,25,1,ta,-2.0218518553757265,281.1775406830862,-999.9999999999999,899.7921662725859,0.608667451619231,0.6297040721777262
cc_align,25,10,ka,12.914351863148948,227.3154082267524,-999.9999999999907,997.6527847172314,1.5578342387054716,1.562512745663057
cc_align,25,10,gu,10.529164789964288,262.9055858247583,-999.9999999999999,898.5148974532085,2.1999053863487865,2.2404263244815117
cc_align,25,10,hi,16.077409177128526,226.80569415496092,-999.9999999999999,987.8448171838943,1.095041926013301,1.1111329835455959
cc_align,25,10,si,54.08874808136619,-143.41091646469755,43.180228755585674,81.02657851362189,2.3338031580770577,2.334111151003179
cc_align,25,10,ta,18.234314401418352,218.53798496504743,-999.9999999999999,990.4691578778371,2.0213405781783083,2.0239302421804815
cc_align,25,25,ka,18.18483100957389,216.51481985778173,-999.5074884893819,999.9999999999966,1.3974360726523176,1.3986548894118072
cc_align,25,25,gu,16.369064338371153,246.7847045379592,-999.9999999999999,920.3485789149911,2.352434525784401,2.387333619761231
cc_align,25,25,hi,21.16749446044519,213.1774889535837,-998.2395183921617,999.9999999999999,0.9611281057021887,0.9694851839853926
cc_align,25,25,si,58.58276659508471,-146.81263096720295,7.908944633625316,129.86961657237467,2.3596653751107977,2.3597038367366086
cc_align,25,25,ta,24.074973303527354,200.436346902923,-989.887795515442,999.9999999999999,1.96014465610686,1.9682431620415741
cc_align,25,50,hi,50.96737458851512,-104.29434638201187,56.71769826003452,-58.51712987846088,2.7086411994202525e-09,2.7500006264981187
cc_align,25,50,si,64.17597301909214,-151.21680130670512,26.575703846868983,88.48896932096984,1.5206903566560166e-08,14.593983757073987
cc_align,25,50,ta,51.99936704779592,-116.67199474787179,15.929148815591265,71.13136129546749,6.10146421198376e-09,11.038153458009152
cc_align,100,1,ka,-3.0381422788710504,271.19164718240813,-999.9999999999999,946.7158770400214,0.7100949986422525,0.7112527634006375
cc_align,100,1,gu,-3.997427086431212,297.3902194128324,-999.9999999999999,868.4860711319205,1.4102268583945328,1.416240729713568
cc_align,100,1,hi,-0.21395266104770508,278.462701015711,-999.9999999999999,907.0055126294727,0.3737547245585039,0.3904208586529725
cc_align,100,1,si,2.6527971057546407,279.35975494352436,-999.9999999999991,882.1174823732571,1.3137728554021388,1.321306158049996
cc_align,100,1,ta,-1.3708084277996155,284.17837054289686,-999.9999999999405,888.3861530021068,0.9797070284176267,0.9928362721348826
cc_align,100,10,ka,12.859935545958505,231.01228027836908,-999.9999999999997,985.6720373006281,1.4707932130537285,1.4736671122646554
cc_align,100,10,gu,10.45442872840126,267.28757300964116,-999.9999999999999,886.7911391926889,2.166663136853297,2.2117063915700363
cc_align,100,10,hi,15.504408567696347,235.3395982949368,-999.9999999999999,962.2422534682075,1.1591843541573874,1.1638465973929932
cc_align,100,10,si,46.89664457932018,-43.60652884252369,-255.17814892046297,339.26612512749136,2.597533387112296,2.599429432713919
cc_align,100,10,ta,18.47732635396878,223.31346996320764,-999.9999999999999,978.2697560156679,2.1618663660107957,2.1644138234071892
cc_align,100,25,ka,18.52312471403399,217.90186177111838,-999.9999999999999,994.8830245673903,1.2951345866125268,1.3001765914927605
cc_align,100,25,gu,15.938585265911067,251.49270501023565,-999.9999999999999,909.4647597522435,2.1617649426371823,2.2103475443066185
cc_align,100,25,hi,21.04064286679987,219.80116368628546,-999.9999999999999,981.9846819748245,0.9434252309127125,0.9589170483021334
cc_align,100,25,si,57.15413707199105,-121.24515524584028,-64.26041142426392,188.79155073339444,2.590126619987641,2.5948416977277513
cc_align,100,25,ta,23.78059475074763,210.24976828933325,-999.9999999999999,993.3355174468962,2.1936355331731527,2.200146893643239
cc_align,100,50,hi,46.12211844651971,-59.523694060333646,-29.32914647772652,-18.519224058429902,3.011757051425422e-10,0.8390590590297463
cc_align,100,50,si,64.14477016678785,-146.27379035730016,22.339671466960834,87.4407465445399,7.7552553415018e-09,14.164900795623215
cc_align,100,50,ta,51.01624976092945,-104.18969813987368,5.2384912018442575,61.72152889362685,2.5329875923258497e-09,9.62248603118206
gov,25,1,ka,24.938059118968017,-76.81762374992483,25.778678583651477,69.72203944097781,2.7846154729213084e-09,1.2289816964803408
gov,25,1,gu,26.14846865924334,-84.5323213087879,67.31217379854446,22.049256753890276,7.714125821982299e-10,1.602757851666914
gov,25,1,hi,28.626491881979923,-84.10514004123046,21.622452434850228,83.95195898782343,5.840309626728457e-09,1.4904115748305304
gov,25,1,si,42.3312491865231,-124.38185813306839,30.56770755730868,105.6491507032185,1.1979912507045778e-08,4.45293163649827
gov,25,1,ta,26.065083375081773,-79.08752897546144,30.106101208708917,57.05223738516225,1.7209649422044887e-08,3.0452662917691713
gov,25,10,ka,35.25740394792859,-109.73423307908726,42.680567778969056,94.41055633305598,2.168223825722082e-09,2.1571390047397556
gov,25,10,gu,36.26405849526227,-125.34822462992572,59.74466264597414,146.3992254034225,1.1844813133431703e-08,4.572414010467102
gov,25,10,hi,39.749943093006735,-123.43110557045786,44.30065609199557,117.34764645550187,2.180847000139592e-09,2.633512580866828
gov,25,10,si,57.421581095212666,-196.5770718977411,86.01712813149788,174.9046386230564,4.4237200135394715e-09,7.775991473757648
gov,25,10,ta,39.13388212233282,-130.62345862339296,43.22743328192323,143.51247874213792,6.251872359721385e-09,6.683156727477542
gov,25,25,ka,39.548852413418594,-118.0534045020088,36.29926094938593,105.45905286951937,1.2825454269418432e-09,2.293754386070274
gov,25,25,gu,41.22741362326727,-148.79796020632762,98.58730165449686,129.64048751645893,8.240500748865429e-09,4.664341053929078
gov,25,25,hi,46.244826044130754,-155.27886771218343,70.94985388325556,143.01011177131437,4.740757265654119e-09,3.4553684440968486
gov,25,25,si,62.42242791750849,-214.22683368831403,93.03780481685699,191.59035255716327,3.797320722771394e-09,10.077264914778738
gov,25,25,ta,44.96922777522938,-158.74616964941907,82.92513731935102,133.9161575882894,2.0708304583743903e-08,7.64969508424454
gov,1,1,ka,21.261960545691515,-79.70198861355676,60.00805550271849,34.87532104801463,9.115381273345815e-10,1.0951980928494016
gov,1,1,gu,25.97195848726669,-93.99184488580855,50.38899551092103,95.24281325271872,5.186949478299797e-11,2.4780843552222325
gov,1,1,hi,28.36937528797686,-93.33548342400599,38.4234023394636,89.07044975136749,1.0854497906437679e-09,1.5930170335201905
gov,1,1,si,41.41040062060035,-128.53597381310743,31.01588686793025,128.0183079343068,1.297976770127871e-08,5.236394168176481
gov,1,1,ta,25.570326572362916,-85.094728081646,35.249767095363424,74.58817576496371,7.603358498255238e-09,3.637330781334397
gov,1,10,ka,32.21612897828436,-98.87508107141228,31.260516024329736,89.27007511685747,1.1648112326598469e-10,2.0663817239573268
gov,1,10,gu,38.50812892651479,-157.55637187869982,109.29819956895611,161.8257852730107,1.126835578568302e-08,5.497937523209945
gov,1,10,hi,42.307914595257444,-157.58308624000463,89.76462634455997,147.184028738225,1.40110796412459e-09,3.6340225931658785
gov,1,10,si,57.08570508997318,-201.6918807092524,95.90709636773201,183.6731557787044,1.5157467374181488e-08,7.631658305164834
gov,1,10,ta,40.3766672497466,-155.90776041040726,99.02622455593153,126.99172107650931,1.9999263209496027e-08,7.684582300779457
gov,1,25,ka,37.22923978071559,-108.6738243743139,33.24696538397429,85.24647865914272,1.9548534740085136e-09,1.8680102084953454
gov,1,25,gu,42.697926254039515,-163.51958693024952,90.37094012800632,194.32953599158796,8.916860236523505e-10,5.671280692316408
gov,1,25,hi,47.60868726545696,-183.4239253990802,105.24079754878629,182.68403336215917,3.0165262582292574e-09,4.4591621908079375
gov,1,25,si,63.57268270693918,-222.7204576911777,96.28665843234046,214.69907489243803,1.8593076242470825e-08,10.762536463372761
gov,1,25,ta,45.66164988122167,-170.69668262577963,92.9689847838237,159.6514903890097,1.807425550647577e-08,8.643136459800276
gov,10,1,ka,24.588801367468804,-76.40081296621265,25.888647325652027,69.03170965925015,2.0932366076000005e-09,1.2387148494071483
gov,10,1,gu,25.452997786618866,-76.74786034350943,31.596387516180222,67.82536600049959,7.645136800188346e-09,1.7531598272729458
gov,10,1,hi,28.43843612563528,-85.48110793824031,25.198796482468115,84.07981081082114,2.856344670172063e-09,1.3789786471097358
gov,10,1,si,41.257080423462,-122.70403656355093,34.81302017115387,99.85053919541815,1.1898602125646877e-08,4.449957179504298
gov,10,1,ta,25.600513469289556,-79.35435838133132,29.173052633647227,62.43402964115911,1.6637292607766918e-08,3.1723642139387493
gov,10,10,ka,34.1844976513348,-102.87898473522289,33.10416681750766,92.22473622756458,3.819930522937337e-09,2.0514538635804
gov,10,10,gu,38.10812147544767,-149.5828323712574,116.63486670052988,115.22341698301915,1.0757430500446257e-08,4.85807606654092
gov,10,10,hi,42.240529619171454,-159.35988529432157,133.92473274973514,64.12049397107774,3.7885464222887044e-09,3.0813616498868748
gov,10,10,si,57.243190025747005,-202.2382283451944,97.13806366029961,178.98813213469106,1.6135789201879892e-08,9.086341579062475
gov,10,10,ta,38.68173582477857,-131.31037706650883,44.72139879551461,148.68742382004044,1.8020217375225951e-09,6.892580601058727
gov,10,25,ka,38.60585626435928,-112.86781884900864,33.17554113107452,96.82770415978862,6.159519203558313e-10,2.26817197598182
gov,10,25,gu,40.89507504037799,-148.74317875696283,102.49539901696751,122.37643123751107,1.2138410794294121e-08,4.5641160527808795
gov,10,25,hi,46.12781757241847,-158.95604522050903,76.9799278470857,147.83782639233345,7.860052269167242e-09,3.6259569055035867
gov,10,25,si,63.186016178084216,-220.3864027245603,97.49219109682339,205.08026272571925,1.6234585678821633e-08,10.596669183597703
gov,10,25,ta,45.48497164817432,-162.42651062403328,84.63940352757524,143.78833652216267,1.0107240745490703e-08,7.976643205015906
gov,50,1,hi,27.654383615237705,-71.70702206187795,0.924838362466214,85.93626292808872,1.0093928143154867e-09,1.3094669058817234
gov,50,1,si,42.744569593992075,-124.32205055921565,29.81459981582638,105.20309731597035,1.9568778322859848e-09,4.459828549440046
gov,50,1,ta,26.259878730189218,-79.02335464535449,29.918768812352685,57.21128085558703,2.901769946188575e-09,3.0611668928359794
gov,50,10,hi,39.81685785092489,-124.13395592811224,30.670253090684405,149.70657649769495,1.013977046743912e-08,2.961138192474987
gov,50,10,si,57.42917549138362,-197.13454230370377,81.9587043253444,187.15107359762297,5.454847847486555e-09,8.130412058816747
gov,50,10,ta,39.13490114619058,-128.5002204248347,29.849189039866562,164.22276675141157,1.7707522795959748e-08,6.949605665787756
gov,50,25,hi,46.606432799640515,-162.2083145428585,78.66195322945929,155.26249583420062,2.3774424585099998e-09,3.7401456867489515
gov,50,25,si,63.47151967043008,-218.33629542371088,96.0644439578312,196.6925247468342,1.244016750019543e-08,9.872299996837294
gov,50,25,ta,45.303212353175255,-161.65345383628875,86.32049563128402,139.43777905310748,4.885105679614149e-10,7.9307225784102915
bible,25,1,ka,40.33731646936659,-122.4137965439714,45.65102535205077,92.78586432191618,4.765760427247974e-09,5.890172513341392
bible,25,1,gu,54.690827750750564,-166.19242737026244,73.43645894198988,126.95393725153329,7.384372563940617e-09,7.0491737078435674
bible,25,1,hi,41.23732390391731,-120.45944831683,46.91586175194703,92.89107231939886,1.637646133779286e-09,6.050970514242958
bible,25,1,si,41.19598375304686,-105.77122036799089,20.410051890125622,77.3424156601749,3.5355498950160323e-09,9.153018948536502
bible,25,1,ta,39.66572425515447,-112.23516032254848,30.06545622231819,87.95819476518012,1.2416344185448315e-08,9.656586965748058
bible,25,10,ka,49.16988408608564,-133.94439644478868,42.82270226235332,99.34017602505747,4.323249785114414e-09,7.160184068495752
bible,25,10,gu,60.24475854210307,-166.17806036723888,72.37282694433543,130.05629760307232,1.4486593149962027e-10,7.661691152175926
bible,25,10,hi,53.76601089595893,-165.54806243891048,129.64525190380076,60.06593364391786,2.9061742826423573e-08,8.626424247049034
bible,25,10,si,58.93214243315193,-170.39525079714937,69.70860978496991,132.76480645518015,7.779739093708511e-09,18.678354918840384
bible,25,10,ta,48.36366890386785,-133.28399503352702,9.07797156161462,172.97865404807962,1.1455828330653126e-08,16.35673229274517
bible,25,25,ka,53.29387843575843,-139.4297678487493,37.90685271678201,98.65509804683654,8.056138979977098e-09,7.242650476389934
bible,25,25,gu,63.951730501712696,-173.0617019867145,72.52553500695936,134.7565412780843,1.4671750924932228e-08,7.900974469459232
bible,25,25,hi,52.9537221522901,-137.2892851711093,51.75495502778915,116.98000174535643,1.9679560574076905e-09,8.058800808055034
bible,25,25,si,63.89484165599942,-179.10070030338548,49.89434269583804,178.85659305870416,1.129234310814031e-08,20.945700884327465
bible,25,25,ta,53.43988030178262,-160.30788257282813,79.97077890209373,114.71923224361382,9.3172872209589e-09,17.40575782648489
bible,25,50,hi,52.9175958120184,-125.54509462318349,44.28618983040715,89.51524666497251,7.20186241998302e-09,6.863097321759643
bible,25,50,si,67.4377060375872,-195.6944523531932,83.50132235741611,153.42866956122236,6.21940577208752e-09,21.936536757732295
bible,25,50,ta,55.41086444860459,-159.8233867091612,77.99604087565928,109.88856734815674,2.0851247400221898e-08,16.950169393592944
bible,1,1,ka,26.750039288565684,-89.22417705316579,37.63125847235591,72.90795323462585,6.724704939897183e-09,4.441768364122158
