train set size,test set,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
1,flores,2.8101430451508347,-4.1747512746601763e-07,-0.00011125548339434657,-5.289188489458757e-09,2.37589582318298,2.3903573107829827
1,bible,8.90009897564466,-7.670563518559714e-09,-0.19563612028820063,-0.05056167604531351,8.402613115213127,8.461102981071132
1,gov,9.839844195757662,-8.275580198483544e-05,4.081067298043479e-08,-0.0005911052884993281,9.62555961404789,9.716364285370327
10,flores,7.039199612381102,-0.08047257050021958,-3.065394715541183e-05,4.688379155868008e-10,5.394158013776869,5.386010087297366
10,bible,14.780207558913562,2.2466249113311307e-08,0.07806660561007694,-0.15699079229782475,13.077986383420843,13.174890045291937
10,gov,17.97625335794327,-0.00037150920438222546,-5.262608323914497e-08,0.04870188561155595,16.946412762229425,17.138266442600806
25,flores,8.67603459720582,-0.5937522151025935,-0.27500428517787034,-7.137987885801824e-09,6.466362793766105,6.451310068014133
25,bible,17.086916933186316,8.551249353403584e-08,-0.0003045655884593023,-0.24881188873726498,14.900844213921493,15.01742417580795
25,gov,19.932130895179938,-5.103783836772318e-09,0.11129367311555056,0.44713317666064106,18.824318509503197,19.03159482321204
50,flores,14.17417964578379,-3.717969664202835e-09,-0.07854502353036676,-0.314269714798194,3.419077216552667,3.810957576600385
50,bible,2.116770481669538,-3.13716237329932e-09,-1.0509981836540516e-06,1.2672074055016125e-08,0.8744780547988996,0.9742637831655823
50,gov,42.2917857618307,4.922539884271683e-08,-0.02959968706525576,-9.686205515360536e-09,5.337074515576224,5.952070762728167
