train set size,language to,c0,c1,rmse,kfold rmse
1,ka,-5.654813055561644e-09,-1.2084082829591796,2.422273458028625,2.417736188279408
1,gu,-9.888544689082111e-10,-1.4070585672729994,6.160369483036669,6.147100655282851
1,hi,-6.370328713922082e-10,-1.4391352720122605,4.2232395461964565,4.225004757680853
1,si,-6.733629884835763e-09,-1.7226640273518106,1.6362931324218093,1.6339466187561256
1,ta,-1.397564063169107e-09,-1.3894412728765122,3.801486234782119,3.8003171529457584
10,ka,-2.990808334806429e-09,-1.4650952705274352,6.974418080521323,6.974155572477175
10,gu,2.9165678575280047,-1.436118237952413,9.096088517788816,8.742026017631298
10,hi,0.16057408044012736,-1.516933684267008,7.339493025119123,7.007426283129732
10,si,-1.5333420741073233e-09,-1.6649181289605954,2.43581566821368,2.4354880700710324
10,ta,-7.42393716494918e-10,-1.4866347230072865,3.6992434178390794,3.698923394042596
25,ka,5.746165057690027e-10,-1.4913281623075314,8.14718025335962,7.848205625833418
25,gu,4.514549549057975,-1.433333643207949,10.138959740168279,9.78576432497231
25,hi,1.1467209680401356,-1.5212825456185854,8.026900697466294,7.661893901909189
25,si,-1.2388398786699524e-07,-1.6782525829968726,3.7022475593521333,3.7020970154664226
25,ta,-5.59867081561117e-09,-1.5007981571512674,3.602044400288615,3.601845809928791
50,hi,1.5314673085253372,-1.8408184293566932,5.852441296653267,81.65705373634026
50,si,-1.3144185459690817e-09,-1.6609112738536351,4.478833255589201,255.66901909780069
50,ta,-1.1313758705140715e-09,-1.578872058468725,4.0297915454789575,182.20312385234413
