train set,language to,c0,c1,rmse,kfold rmse
gov,ka,7.723123178161388,0.033019767299853016,11.238904861865299,11.493967586799767
gov,gu,12.520823836074666,0.021809234827021497,11.85109274083334,12.11333353755301
gov,hi,12.66639058270269,0.010047730991376399,12.171828019516356,12.36537943940436
gov,si,12.794984494531112,0.011292838476224316,17.642806934357274,17.90339143793843
gov,ta,10.633119263918935,0.01150413548607463,14.527239771533928,14.743367719823306
bible,ka,5.429240156807309,0.02772139612340031,10.116051275608458,10.342440191666919
bible,gu,7.276127240977302,0.020879898786167035,9.945312865903203,10.160643665074867
bible,hi,7.745575990304163,0.019729118914164023,11.826396189914828,12.079421771533042
bible,si,8.570356668583711,0.020333248262160677,14.719663090794963,15.029031575217886
bible,ta,6.588316849929241,0.023241034519040193,11.632458323234872,11.884997611795864
