train set 1,train set 2,test set,language to,c0,"c1,1","c1,2","c2,1","c2,2",rmse,kfold rmse
cc_align,gov,flores,ka,-1.9167605328774684,0.3242408042145046,-0.0024694819892304956,1.0979166676494518,-0.027083333367781015,0.2248456260538666,0.26140645299409754
cc_align,gov,flores,gu,2.5250358373566533,0.3238963561792806,-0.0024951708494342435,1.3218518524315623,-0.034814814835211094,0.07071067811865514,0.08660254037844177
cc_align,gov,flores,hi,2.3646367192058815,0.35539874890574424,-0.0026698566579112857,0.5395562466852054,-0.0065485484617465945,1.1656077121979556,1.199996567062257
cc_align,gov,flores,si,1.4701384482567061,0.24337391502973488,-0.0018083246535646985,0.40817197004550954,-0.005331656257356566,0.85737071979951,0.8602915332330099
cc_align,gov,flores,ta,0.9143982718079314,0.16844172985079792,-0.0011635338387009724,0.3966731373859313,-0.004589839210932852,0.7714857768713331,0.7763325811111232
cc_align,gov,bible,ka,0.09571486534435729,0.019663330806856207,-0.00013597331312151633,0.1513425925925926,-0.003657407407407408,0.04082482904638627,0.04082482904638625
cc_align,gov,bible,gu,0.4667803653034328,0.09124431506816168,-0.0006943989649897379,0.2247222222222223,-0.0052777777777777805,0.09428090415820611,0.11547005383792519
cc_align,gov,bible,hi,0.27816298471575074,0.057628540784810854,-0.0004130283262855596,0.1707812687140542,-0.002396194764658779,0.39449826111895686,0.4324304770878814
cc_align,gov,bible,si,0.08987394080881352,0.019127935200241832,-6.235681493526795e-05,0.09637368861493245,-0.0010863405042794356,0.3007545008609801,0.34088305928000395
cc_align,gov,bible,ta,0.11826452195889141,0.024606391100079623,-0.00013018446213397024,0.17551815018165495,-0.0023567256534813797,0.3225944143694829,0.3383868482734297
cc_align,gov,gov,ka,2.5987796617995893,0.6947230533932086,-0.005444006649367891,1.848657410585348,-0.04634259270440369,0.5421151989096878,0.663952809568036
cc_align,gov,gov,gu,2.9716747234210263,0.9932958928581064,-0.00790725603175374,1.593981484926897,-0.039351851973073566,0.13123346456686014,0.22546248764115245
cc_align,gov,gov,hi,2.0546785529550333,1.0242154609960128,-0.008124390353312043,0.8700027061494137,-0.011856638934803258,1.679626313622974,1.6809564111909536
cc_align,gov,gov,si,3.2944117190166247,1.1821007539636654,-0.009371472698375967,1.3042207732084294,-0.017086803168759376,2.421754963811889,2.4269750928036182
cc_align,gov,gov,ta,2.3606109088210028,1.0415199957580892,-0.008238826633535746,1.008723192894058,-0.013312948319475323,1.8156530889250782,1.8165631255293921
cc_align,bible,flores,ka,0.1312222195937905,0.026864814946236402,-0.00017936296401433564,0.197962962962963,-0.005370370370370373,0.02357022603955154,0.02886751345948144
cc_align,bible,flores,gu,0.4447193189169007,0.08673162664674755,-0.000633408568729536,0.3072685185185186,-0.007731481481481486,0.14337208778404412,0.21984843263788129
cc_align,bible,flores,hi,0.40813580715427306,0.08075524667932336,-0.0006069308623234757,0.17365740740740745,-0.004675925925925927,0.06236095644623227,0.09128709272040143
cc_align,bible,flores,si,0.1758739974882415,0.03597944827373606,-0.00024872447507877734,0.15087962962962967,-0.0041203703703703715,0.10274023338281621,0.15545631755148043
cc_align,bible,flores,ta,0.19800109740790894,0.04022494512960453,-0.00026135511659239173,0.1806944444444446,-0.00430555555555556,0.13123346456686366,0.1471960144387978
cc_align,bible,bible,ka,2.692240296800805,0.5326148364834895,-0.004186252025201248,1.3902314845132606,-0.03143518529185307,0.1779513042005226,0.20412414523187117
cc_align,bible,bible,gu,2.846982907317495,0.6421323360030301,-0.005108614243579795,1.186296296942252,-0.02703703705976412,0.04714045207909926,0.05773502665271718
cc_align,bible,bible,hi,2.9043894813907585,0.7529934884827104,-0.0059741701300839055,1.3006481505048095,-0.029351851934768008,0.09428090415820867,0.11547005383788628
cc_align,bible,bible,si,2.8453240815705456,0.911969906414815,-0.00722464814020741,1.7295833368783884,-0.042083333458057114,0.10274023338281411,0.16832508305889715
cc_align,bible,bible,ta,2.7946493346810493,0.6805777184051157,-0.005401955080574258,1.4510648150788599,-0.03393518519447525,0.07071067811865282,0.12247448713916209
cc_align,bible,gov,ka,0.10980345362130006,0.022940382860294505,-0.00016218972953936322,0.01819444449077907,-0.00013888889039034505,0.04082482904638629,0.06454972246104033
cc_align,bible,gov,gu,0.25700092827000587,0.051636064697610826,-0.00036331073980310874,0.2520833333333333,-0.0062499999999999995,0.0235702260395515,0.02886751345948112
cc_align,bible,gov,hi,0.28910700805529277,0.05854464957568871,-0.00043991275212432944,0.09111111110107355,-0.0022222222213779874,0.047140452079102876,0.05773502700715707
cc_align,bible,gov,si,0.09123348408969059,0.018901288758478445,-0.0001227658656233831,0.13314814814814804,-0.003518518518518515,0.062360956446232366,0.0645497224367903
cc_align,bible,gov,ta,0.03168400221714753,0.006295429518772257,1.0081008294266375e-05,0.12398148148148147,-0.002685185185185185,0.13123346456686338,0.17559422912073938
gov,bible,flores,ka,0.462345679126967,0.1137345678932819,-0.0029320987651862696,0.1873148147976187,-0.004907407406836327,0.05879447357921308,0.07698003589195031
