train set,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
gov,6.848565574109541,1.3936844568524203,-0.05156049795373984,0.0005754717542688107,13.76629917950772,13.78421267379891
bible,3.524067998884627,3.0482436453857478,-0.32101376560869993,0.008502823495213432,11.775325135786565,11.798659218249817
