train set,language to,c0,c1,rmse,kfold rmse
gov,ka,6.566209836135355,22.964867244486875,11.130610044816686,11.374097814068017
gov,gu,11.990698974005152,19.529497900961825,11.811752381889873,12.073816194974386
gov,hi,12.137985226614392,9.039569321516197,12.131152430646582,12.328406554343598
gov,si,12.060926931221655,10.769168884942996,17.598890906170478,17.868713449548657
gov,ta,10.076522887200444,9.027475183370848,14.494729844824434,14.716788716628296
bible,ka,5.037185628629901,11.882096256834119,10.094218277330322,10.324358488907343
bible,gu,7.059632122940999,10.538567563800676,9.932698887042948,10.158058028491217
bible,hi,7.557379586203744,10.362777233644433,11.817011195322387,12.087023350459848
bible,si,8.306118440573833,12.057843345334451,14.70807042412171,15.039913822728863
bible,ta,6.327429712513703,11.043110147970811,11.620153473267129,11.88598714564666
