train set,language to,c0,c1,rmse,kfold rmse
gov,ka,5.66019901368139,0.7755467668257019,11.05383478760931,11.284094403191748
gov,gu,10.958123673950755,0.7333532695034248,11.763528813080857,12.011112968742076
gov,hi,10.315475232253803,0.6041479393836342,12.025426787126696,12.214030625630196
gov,si,10.25495437319311,0.6412905581185266,17.50892093567564,17.75085618174226
gov,ta,8.280285601005245,0.602424991985505,14.423143497095648,14.631587802927427
bible,ka,3.8207650437679517,0.6055216241674052,10.063941815097484,10.252998447756235
bible,gu,5.826060000696014,0.5755132424046381,9.9083375725186,10.093697001418352
bible,hi,6.323522883739016,0.5711795726736113,11.797935357208138,12.010331217436995
bible,si,7.091343618943746,0.6093140651364378,14.686143104352075,14.943335534554961
bible,ta,5.104188511162906,0.5867083834839981,11.599854710730813,11.809639042952414
