train set size,c0,"c1,1","c1,2","c2,1","c2,2",rmse,kfold rmse
1,2.646803695504813,2.583422943312085e-09,-0.00040583114437318436,1.4456855438724396,0.24279172338244445,8.674179601327104,8.423026923386574
10,4.488231551762115,-2.7064861759017595e-09,-0.002712879144560402,3.6925389607841534,2.976395144197778,13.867828997717215,13.819699756038759
25,4.451574517774748,1.5942562800631332,-5.883256652983702e-10,3.9958006639520884,3.5856105460435472,15.50386288183642,15.417270581522182
50,9.858023836600406,5.686829688832414e-06,-0.0006238393825516216,7.476272153909604,5.20645707859212e-09,17.474294242982225,17.919564792002507
