test set,language to,c0,"c1,1","c1,2",rmse,kfold rmse
flores,ka,0.35944359395200987,0.8639542208817295,-0.022011953400133843,4.536687180833597,5.20104093800292
flores,gu,3.9455492794077984,0.8258996868271823,-0.020067541723199876,6.083162364037497,6.999445542233132
flores,hi,4.475558351155911,0.22877090546838239,0.0010908495125952374,5.26469215272001,6.281730152840298
flores,si,2.48214823541127,0.1892014615474671,4.868005820311634e-05,3.3860312026148223,4.056086129381835
flores,ta,1.8432729800774288,0.15175551188700367,0.0006662344357283125,2.500750484013876,3.084757917937263
bible,ka,5.172864126042028,1.0030756786636787,-0.024558285247428705,10.595983405856893,12.187174745670092
bible,gu,8.369633480773068,0.8005276851790776,-0.018771196063332305,9.99490854564865,11.51983261356053
bible,hi,8.89007562983747,0.8392788922563305,-0.018996091381792875,11.242126048406623,11.877031350870194
bible,si,9.875630967000541,0.976038105103219,-0.02288868147255479,14.536622494397433,15.339476159048312
bible,ta,7.327886668227022,0.8385394282207141,-0.019065541118269365,11.474578827567276,12.103082113235043
gov,ka,4.520078927042208,1.521132341524587,-0.03983609554898154,13.35377093927839,15.357475879318821
gov,gu,10.77936089340723,0.9964990721066947,-0.02446561524131226,14.984125924999182,17.255009272011808
gov,hi,11.422876856739439,0.22441652295229897,0.005367166253943726,13.296011690061434,15.099765934843484
gov,si,12.586664283986767,0.3870712033943057,0.00666008326163281,17.649177204492634,20.204330022335707
gov,ta,11.292205155808228,0.2428074650950251,0.0066503158577584905,14.663181049331104,16.748823913142463
