model,multi factor,multi variable,overall linear,sliced linear
linear,299.23%,100.42%,100.00%,100.00%
poly2,299.23%,100.42%,100.00%,100.00%
poly3,299.23%,100.42%,100.00%,100.00%
exp,299.23%,100.42%,100.00%,100.00%
log,299.23%,100.42%,100.00%,100.00%
power,299.23%,100.42%,100.00%,100.00%
hmult,299.42%,100.49%,100.06%,100.06%
