,best min inits,best min rmse,best mean inits,best mean rmse,best max inits,best max rmse
simple,[1.0],0.3323155325325756,[-1.0],1.9460266690751615,[-0.5],4.686335607533692
kfold,[-0.5],0.352153559103764,[0.5],2.0169257501405267,[-0.5],4.96607013965898
