train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c2,1","c2,2",rmse,loo rmse
cc_align,25,gov,1,flores,4934.553510718885,-20610.313189932604,20866.620387440384,683.1618948949483,-712.9000429553581,9.554490704837427e-10,25.34168636748965
cc_align,25,gov,1,bible,933.4129941604419,-3905.378074240799,3927.9334053438943,158.8689671712186,-161.6950601224292,1.5247213264615077e-11,4.775950274537855
cc_align,25,gov,1,gov,6807.419557456415,-28716.681768156195,29327.20879829012,1051.3337258885626,-1104.714997516958,1.3073154935036965e-10,35.42690353346991
cc_align,25,gov,10,flores,2986.9324597693976,-12438.46185014652,12358.601165344971,651.5625873328746,-676.2355357775202,1.197344364084179e-12,15.067194965369012
cc_align,25,gov,10,bible,2465.366629942917,-10193.957017937166,10386.145785618712,152.5296788174696,-152.61166332594982,1.554319588879019e-10,12.641735136763387
cc_align,25,gov,10,gov,4698.176311845704,-20166.92161242944,20648.020489764705,1152.24319215997,-1230.3373984541252,7.46403211653976e-10,24.76018353199077
cc_align,25,gov,25,flores,2135.678984561944,-8868.18547677297,8691.384388195147,584.5358259873138,-606.417565525501,3.7697365827018787e-10,10.627442009358424
cc_align,25,gov,25,bible,2441.5170584703137,-10094.329741332736,10276.296177909986,158.51999796572278,-156.61213971354672,1.0261942410097286e-10,12.511135959336315
cc_align,25,gov,25,gov,4098.644060558734,-17758.89966403323,18190.39879111789,1215.6012170505687,-1299.3831340869765,2.3264130651700298e-10,21.734748381418516
cc_align,25,gov,50,flores,92.10178183564702,-89.96210550181671,-108.18248898365373,-25.833261035845773,24.098357138708717,3.453530373265874e-08,8.06792025667843
cc_align,25,gov,50,bible,22.993599524473364,-26.467055861397313,-30.679741711939194,-3.735531748848509,11.175344747291149,3.828722049863105e-07,2.418513046717606
cc_align,25,gov,50,gov,-140.9601337088518,251.46787168616333,276.1995105923044,33.66597161836107,-100.82501034150253,1.6091216852170287e-07,21.02201424038376
cc_align,25,bible,1,flores,1839.864201353032,-7646.132382723163,7777.540650782891,168.45315689158855,-172.4746522587421,2.666777703401212e-10,9.454850290932052
cc_align,25,bible,1,bible,8028.533563063399,-33707.42483106719,34546.849175422125,918.5663219747469,-981.2791997912946,6.701309059905296e-10,41.76955867561044
cc_align,25,bible,1,gov,1282.01285768147,-5331.689343689091,5415.7302649959975,130.2044925265745,-135.35452682894137,2.2710654988507183e-10,6.582939579974879
cc_align,25,bible,10,flores,1406.394437617685,-5846.40728054707,5899.576218705181,183.1738671128891,-185.64679822183436,9.473384315216497e-11,7.181046344919928
cc_align,25,bible,10,bible,7438.23641726664,-31326.016274988615,32179.240862957566,939.6235638753561,-1014.6568442482012,1.7991029721778485e-10,38.83184611138444
cc_align,25,bible,10,gov,1835.1036126535143,-7684.003758415327,7784.932925466268,262.5992088636428,-271.262687177695,7.861465996745081e-11,9.448986912093064
cc_align,25,bible,25,flores,1238.2164938784028,-5126.289171701122,5166.201906015394,144.9382845316739,-143.2033730800982,2.651833598739157e-10,6.29888629275249
cc_align,25,bible,25,bible,6880.991578414287,-28974.39051818071,29787.206373037934,869.2729275922242,-941.6549487937731,3.707192966317842e-10,35.930821559926194
cc_align,25,bible,25,gov,1805.4530445339672,-7552.809871525874,7646.6864787411305,256.6136334009313,-263.7511541954885,2.1618974016415058e-11,9.284610170312734
cc_align,100,gov,1,flores,4296.1355741880525,-17894.209194569983,18105.335543418514,562.6283013087851,-587.3564502441466,4.774337482094319e-10,22.006603228814946
cc_align,100,gov,1,bible,935.0819655790234,-3912.768707753541,3935.5003486366763,161.1530895205693,-164.67766309951867,7.46490596838743e-11,4.784238609365237
cc_align,100,gov,1,gov,5493.865560673213,-23174.665895581486,23696.134488182972,847.4587749447694,-894.1711022347398,4.5718294649167724e-10,28.607955667244028
cc_align,100,gov,10,flores,4162.784864993693,-17335.651765984014,17396.154581526833,716.5965532175913,-744.6822041136862,3.3513249238774884e-11,21.17174469721756
cc_align,100,gov,10,bible,2908.6601886352905,-12087.066532140327,12328.339838892332,232.94132733320382,-237.3002129760924,4.872437517723774e-10,14.978283241923336
cc_align,100,gov,10,gov,5197.544074069359,-22232.28358226269,22778.344683895215,1157.3703140556386,-1234.6004122784677,1.2037146833154615e-10,27.346693128534618
cc_align,100,gov,25,flores,3293.524796639606,-13620.25655308825,13611.739587391521,538.4485766356978,-556.1253173351794,2.6608302249850244e-11,16.610850032046223
