model,multi factor,multi variable,overall linear,sliced linear
linear,289.70%,97.22%,96.72%,100.00%
poly2,289.70%,97.22%,96.72%,100.00%
poly3,289.83%,97.27%,96.76%,100.04%
exp,289.68%,97.22%,96.71%,99.99%
log,289.70%,97.22%,96.72%,100.00%
power,289.70%,97.22%,96.72%,100.00%
hmult,289.64%,97.21%,96.70%,99.98%
