train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,rmse,kfold rmse
cc_align,25,gov,1,flores,8.236484512981482,-2.0109032200402055,1.0,2.29768050053154,2.75142023034808
cc_align,25,gov,1,bible,-0.486836595432854,3.188422273922749,1.0,0.6967992861994672,0.8180577444771591
cc_align,25,gov,1,gov,11.936309038878555,19.509137909423746,1.0,2.345357877977404,2.588513309002513
cc_align,25,gov,10,flores,17.41298948149065,-7.048059857629965,1.0,3.4014336302690276,4.093478508018143
cc_align,25,gov,10,bible,1.435048529170656,2.362967833908488,1.0,0.9025579421018178,0.9229754711276833
cc_align,25,gov,10,gov,25.885441964402354,17.138355345875407,1.0,3.605479417731966,3.77715276207755
cc_align,25,gov,25,flores,20.237497832799534,-9.186028952443623,1.0,3.487793741204631,4.189710034007865
cc_align,25,gov,25,bible,0.7614000830295261,4.480656999386408,1.0,0.9939676295392187,1.0203744562765913
cc_align,25,gov,25,gov,27.827377696033032,20.198299736930156,1.0,4.025283932166536,4.208589117234581
cc_align,25,gov,50,flores,35.68229626559694,-37.54009027664013,1.0,1.2295988266274007,2.8282779898995516
cc_align,25,gov,50,bible,4.523962705122095,-2.2879696294170184,1.0,0.5590906428336544,1.285999727353933
cc_align,25,gov,50,gov,30.644695777631153,22.659752660150073,1.0,5.119840526695304,11.776468789218198
cc_align,25,bible,1,flores,0.7594533780464874,1.756969918445588,1.0,0.668825945189429,0.7237708577609485
cc_align,25,bible,1,bible,17.00922274632773,2.2617683935606667,1.0,2.706168279099884,2.7321644995577783
cc_align,25,bible,1,gov,1.4226403675794461,-0.789505736474709,1.0,0.4897190522956516,0.5498692492375298
cc_align,25,bible,10,flores,1.25606384403835,2.9588421631572044,1.0,0.9185678322037366,1.0393949462338241
cc_align,25,bible,10,bible,27.893634530605286,-0.17491499885374076,1.0,3.5343731991465144,3.5383105362883835
cc_align,25,bible,10,gov,-0.05300637176883471,3.2746683320604673,1.0,0.8367800642926503,0.9956897010729072
cc_align,25,bible,25,flores,0.616234820637504,4.602387583164595,1.0,0.9548660282398758,1.0456987195426841
cc_align,25,bible,25,bible,32.378957347477204,-1.081513472348249,1.0,3.526493683873342,3.52694706101888
cc_align,25,bible,25,gov,-0.12943419530792008,4.052567310211707,1.0,0.883427510430081,1.0397949176242722
cc_align,100,gov,1,flores,11.012814414696225,-4.843452501266302,1.0,2.111056270691974,2.4947311868770914
cc_align,100,gov,1,bible,0.06329149064736828,2.6464724175533605,1.0,0.6859884873427197,0.8114395360511139
cc_align,100,gov,1,gov,16.24141040281915,14.493287568705558,1.0,2.047729606144543,2.185426026173931
cc_align,100,gov,10,flores,18.062145121494247,-5.720177016867902,1.0,3.2534509430466843,3.9009599608664485
cc_align,100,gov,10,bible,0.6468558361462755,4.844072193711031,1.0,0.849277707639965,0.8823975625948945
cc_align,100,gov,10,gov,25.740367292486315,18.49281679612924,1.0,3.6337737434684207,3.772624404327166
cc_align,100,gov,25,flores,20.839701161412346,-7.770446238642883,1.0,3.1851725357291234,3.7120076162202755
cc_align,100,gov,25,bible,0.6181018165266426,5.6823595294627856,1.0,0.8591663736392211,0.8677776146523712
cc_align,100,gov,25,gov,28.038918543041294,20.62507745284365,1.0,4.164732067550558,4.29276391811654
cc_align,100,gov,50,flores,38.2039519210499,-39.20064329587638,1.0,1.5311503337602153,3.5218956627423585
cc_align,100,gov,50,bible,5.409772532488893,-2.199134720633859,1.0,0.3706642840736114,0.8525883490257592
cc_align,100,gov,50,gov,30.18966774067612,23.759583767344527,1.0,5.305172667970211,12.20276299594851
cc_align,100,bible,1,flores,1.0984002091738152,1.4974127243389643,1.0,0.6670724948473643,0.7166383419426123
cc_align,100,bible,1,bible,19.15767971288089,-0.48135344847645783,1.0,2.710433291593976,2.73004188546613
cc_align,100,bible,1,gov,1.379789644205233,-0.2984960292224088,1.0,0.5594642227924789,0.6300103920011085
cc_align,100,bible,10,flores,0.891877564954308,4.610529092252043,1.0,0.9121638882218301,1.0021272436480613
cc_align,100,bible,10,bible,27.83734047699538,0.7521812366232816,1.0,3.6384899812404803,3.6431522568708226
cc_align,100,bible,10,gov,-0.32168185742441674,4.635855478079454,1.0,0.8212861101341006,0.9489234930124937
cc_align,100,bible,25,flores,0.0992862392148709,6.688881608522891,1.0,1.040198889020077,1.147992566473317
cc_align,100,bible,25,bible,33.79226715245621,-3.0117648917524575,1.0,3.547513839604379,3.54791452181188
cc_align,100,bible,25,gov,-1.2145712143682434,6.789489102426058,1.0,0.8584471179473054,0.9720502723959406
gov,25,bible,1,flores,1.5356045659233648,0.867503856620561,1.0,0.9005346910390487,1.0121447054884116
gov,25,bible,1,bible,20.249435426852703,-3.118554536123513,1.0,2.287463613707411,2.3593678490756056
gov,25,bible,1,gov,1.6493996250059932,0.8790960880825625,1.0,0.8788768466210173,0.9987684554429004
gov,25,bible,10,flores,1.877930686033072,2.7685430913912494,1.0,1.3202756361984953,1.5654132165152475
gov,25,bible,10,bible,30.048421704159644,-3.826512892668062,1.0,3.6191109525764347,3.6382274208439465
