train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,c3,c4,c5,rmse,kfold rmse
cc_align,25,gov,1,flores,15.83709948764066,21.811033801107996,-2.152373999011855,-4.794632484881469,-4.076729717197594,-8.779572960599832,1.0499853722389717e-08,3.492693515921269
cc_align,25,gov,1,bible,16.054642585792756,23.637132596920075,0.8163962596680457,-7.763027475280132,-5.920935973114551,-9.70599745633814,5.932205051867489e-09,0.6786653968683415
cc_align,25,gov,1,gov,8.152013950087412,6.748096776816664,0.32514495037082647,-0.2322806290554249,-2.317335445973731,-0.18838753100170347,1.0456707091146987e-08,2.924407362859281
cc_align,25,gov,10,flores,13.612625044955408,17.10466546254173,-2.60227043455866,-3.811279774793544,-0.9728545830695914,-9.550570257465173,6.7734733308060754e-09,5.983465333510103
cc_align,25,gov,10,bible,12.18007828156606,14.8432685005397,2.3741476775886903,-7.207027850850383,-4.8553979665755165,-0.9112377730866021,1.2367851403095046e-08,0.792718627789292
cc_align,25,gov,10,gov,7.165184546960201,5.27845672721837,-0.2988571358911667,0.5976731167025569,-1.1630513929753914,-0.3939277521685318,7.843892166600931e-09,3.3453958029955313
cc_align,25,gov,25,flores,13.377095526966519,15.74470220328944,-2.5866906071534395,-3.4972111183159784,-0.5029523157420644,-9.198848062828842,1.0340532159611596e-09,6.1945829583181276
cc_align,25,gov,25,bible,11.628046118685727,13.129563866856438,2.594500114965841,-6.575834618944414,-4.268015044882778,-1.0301676110153217,3.024281209555574e-08,0.8439133267124476
cc_align,25,gov,25,gov,7.082210418791166,5.104087649439622,-0.339626394352991,0.7414856548726174,-0.9973583518151222,-0.5051707578954985,2.4677494071045995e-08,4.34887797121412
cc_align,25,gov,50,flores,4.496494250105101,0.7740187164392148,-2.583813167272277,-1.2330673652132451,2.563616604018913,1.1177801553007252,8.30356814979475e-09,3.0628574700555586
cc_align,25,gov,50,bible,3.534322381163609,-0.24021545807505648,-0.004641299417007293,-2.29995726784786,1.767545466807988,-0.05312723421515907,5.647011136551472e-09,0.33824609976014336
cc_align,25,gov,50,gov,3.4927198354039075,0.6879307516664707,-1.2371881278572032,1.9179111002282072,1.2840231052411384,0.44561947422387177,2.6924688020637972e-08,7.097823686655998
