language to,c0,c1,rmse,loo rmse
ka,32.71559056576069,-60.72074988521012,4.390275242209855,4.394384204004809
gu,34.99293277757171,-55.56856690002022,5.5001092147100055,5.503887608137735
hi,37.253091691264714,-63.640392264563005,4.659378698112628,4.660791627600177
si,45.30972614799464,-76.60511995174791,6.281468530195559,6.284351179323723
ta,35.360735796560796,-58.27970231288798,5.604223777784812,5.60694705752384
