model,multi factor,multi variable,overall linear,sliced linear
linear,35.73%,35.12%,35.21%,100.00%
poly2,35.81%,35.20%,35.29%,100.23%
poly3,35.63%,35.02%,35.11%,99.72%
exp,35.95%,35.34%,35.43%,100.62%
log,35.49%,34.88%,34.97%,99.32%
power,37.23%,36.60%,36.69%,104.21%
hmult,35.15%,34.55%,34.64%,98.37%
