,best min inits,best min rmse,best mean inits,best mean rmse,best max inits,best max rmse
simple,[0.0],0.3612700484890349,[-1.0],1.951950781070509,[1.0],4.8729444180185615
kfold,[0.0],0.378629043639149,[1.0],2.0322533179684634,[-1.0],5.149468351214638
