model,pareto,rawlsian,gov-flores,gov-bible,gov-gov,bible-flores,bible-bible,bible-gov
linear,True,False,4.415035753537985,0.7821644770362367,8.857794666628267,0.6952011297792872,6.501707729940134,0.4282270750256177
poly2,True,False,4.415038195616674,0.7821617451730016,8.857779486392262,0.6952013677686799,6.501713836623236,0.4282326305541839
poly3,True,True,4.415037683902962,0.7821651497091858,8.857767101244587,0.6952029719883346,6.501732900076779,0.4282197796745698
exp,True,False,4.416266298711333,0.782154485836534,8.857795036893686,0.6982889349605309,6.501716806116188,0.4282239573813711
log,True,False,4.415037642355203,0.7821669084025233,8.857781006948247,0.6952011398890799,6.501714866514962,0.4282245537966208
power,True,False,4.398832118290319,0.7913852185496669,8.929686686012005,0.6969038706361059,6.649002554854965,0.4526936840601482
hmult,True,False,4.415034305990532,0.7821640829288276,8.857790670977758,0.6952014683749945,6.501719481796511,0.4282240827015928
mult,False,False,4.415041977524679,0.7821663566070486,8.857785563480682,0.6952062334123817,6.501720284171425,0.4303908530352026
am,False,False,4.819668971269791,1.219520139619888,9.588269771641023,0.979710841300815,7.153148270448758,0.7054636979667825
gm,False,False,4.836224107206528,1.2224978528300032,9.545123390428936,0.9796867200707252,7.137510085389616,0.7068181427346405
hm,False,False,4.800145897710865,1.200889499374448,9.52506340088056,0.968900254753055,7.120435705875034,0.6941390501188699
