train set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
gov,3.756164595018586,1.1410976532976558,-8.493405330085052e-10,0.07370922899395918,3.2935552918634916,2.8771979067734197,2.5024982055231555,14.889352419467942,14.988298914555264
bible,2.3990980409273877,3.4202390317538386e-09,7.095912838385762e-05,0.0015548109934247394,1.9754837394189617,1.5942331694583651,1.2511073113046103,12.382265910815882,12.330420426476872
