train set,language to,c0,c1,rmse,kfold rmse
gov,ka,7.805718724947932,0.03256822674681346,11.238722375283448,11.493856625999996
gov,gu,12.618134180038382,0.021466447198121755,11.850888363794548,12.113576437872078
gov,hi,12.7582392233513,0.009879564696928687,12.171639889918222,12.366288956325224
gov,si,12.883910659379481,0.011133601451651206,17.642681279426256,17.904201742316715
gov,ta,10.722437477006395,0.011311342598911648,14.527086569953287,14.744239122094266
bible,ka,5.519363741510067,0.027008233134607568,10.115830762509894,10.342050637875777
bible,gu,7.3745282120506195,0.020283019719406627,9.94506738358179,10.160731514938474
bible,hi,7.845477218779173,0.019156749645312346,11.826186510794436,12.079470078885743
bible,si,8.66917799754183,0.01982318769213258,14.71949634628655,15.028936457470413
bible,ta,6.684243103983408,0.02260377682808884,11.632253907342044,11.884798820789205
