train set,train set size,test set,c0,c1,c2,rmse,kfold rmse
gov,1,flores,-5.8812108608961475,-26.575420426883735,-9.03775469163373,0.8944271909999159,0.9033271832508971
gov,1,bible,-5.114637870373638,-2.8473664745006855,-5.909301144298284,0.25298221281347033,0.25298221281347033
gov,1,gov,9.798345909340938,-46.03242466796263,-6.60451304389305,2.515750385074004,3.501142666065483
gov,10,flores,-5.679135226637169,-22.778931794471724,-16.5112826097155,2.2400892839349065,2.688308018066361
gov,10,bible,-5.379416248941743,-7.592977271721582,-7.1259219610401665,0.7,0.7341661937330487
gov,10,gov,41.82748112019705,-40.81225278277096,9.906769548674278,3.2140317359976405,3.4656889639663864
gov,25,flores,-6.714216326981962,-24.20261503162663,-19.98734210649754,2.439877046082445,2.94227802901097
gov,25,bible,-6.303448671565848,-8.06753836879005,-8.516345740662713,0.73824115301167,0.7489993324664986
gov,25,gov,46.920021686154676,-47.45610790514953,11.644799314220407,3.840052082980126,4.033236909932869
gov,50,flores,5.896472988661758,-41.28681387733879,-5.897175234208024,2.735263546107882,3.6112793191142645
gov,50,bible,0.8349453121738208,-8.067538343810156,-0.8349475349007874,0.7756717518813396,0.8882707089906258
gov,50,gov,21.419864748492888,-21.829809636350014,-21.150639832262726,5.225578117937445,5.276593090364863
bible,1,flores,-2.057318935279098,-4.745610790523271,-2.954650572250789,0.2408318915758459,0.2588435821108473
bible,1,bible,26.403308181269697,-55.04908516977351,13.209026087717902,1.5811388300841898,2.0248456726038615
bible,1,gov,-1.2925405501726266,-3.796488632412458,-1.7380297483914364,0.18973665961010275,0.18973665961010275
bible,10,flores,-3.714637867234779,-3.7964886360311283,-5.909301140877053,0.260768096208106,0.2683281573039501
bible,10,bible,45.03824876711975,-54.09996301187048,21.377765905210566,2.1358838919754044,2.3244354153213207
bible,10,gov,-2.7535892102599937,-5.220171869700904,-3.823665446330254,0.3178049716414141,0.31937438845349037
bible,25,flores,-3.792400029162454,-2.3728054017153175,-6.430710061980713,0.291547594742265,0.2983286778075381
bible,25,bible,51.72705959237825,-53.62540193281895,23.984810527797215,2.2210357943986407,2.4539763636295553
bible,25,gov,-4.036875704704188,-4.271049712232472,-5.387892219112585,0.29154759474226505,0.29832867780476097
