train set size,test set,c0,"c1,1","c1,2",rmse,kfold rmse
1,flores,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,6.348763252474988,7.534953202157286e-13,-0.19646078784391505,8.79551726965486,9.019220150689298
1,gov,7.387640235111568,-2.3862029569045196e-08,3.6537054484097405e-06,9.945385963968562,9.73122551792198
10,flores,4.559970780295387,1.9521090866562244e-08,4.81462027066482e-08,5.945968889409368,5.71997702361514
10,bible,12.335605930506343,4.90738897158912e-07,-9.098253189421468e-10,13.3154943098359,13.494278104188064
10,gov,15.530559821690648,-4.541727428347019e-09,7.348226677159585e-06,17.129661289881795,16.987117212963234
25,flores,5.950820914560594,-3.036011426090273e-09,-1.97788433736774e-08,6.940489616652934,6.737773428133583
25,bible,14.600610134099561,-4.172092869794746e-06,-3.420998740493288e-10,15.113832114796347,15.592131943421625
25,gov,17.526270347001766,5.435973467726128e-06,-4.074239321314139e-09,18.98991184589696,18.82765657187863
50,flores,11.806156291081859,-7.808662319713097e-10,-0.014649809339745315,4.174731375590463,3.57620955118264
50,bible,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,39.83264568769754,5.550092768583102e-08,-3.5297130131730667e-07,5.89369672571299,5.6581246113791535
