train set,train set size,test set,c0,c1,c2,c3,c4,c5,rmse,kfold rmse
gov,1,flores,0.0,0.0,0.0,0.0,0.0,0.0,5.107641334314694,5.107641334314694
gov,1,bible,0.0,0.0,0.0,0.0,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,2.2748410639455536,-4.399238670589073e-09,0.7458984610003312,2.03865022268663,0.3913809203695185,5.664034506779653e-05,3.5481224394067947,3.9484917168612097
gov,10,flores,1.7739774557892656,-3.050723345385781e-09,1.6959005997051427e-08,9.389908918069926e-08,1.9493404605447548,1.9765159542786396e-05,4.209268489537391,5.029916425761832
gov,10,bible,0.0,0.0,0.0,0.0,0.0,0.0,2.3958297101421877,2.3958297101421877
gov,10,gov,2.9818555345019124,0.573860496247159,-0.0022739750431992967,2.0702301324504786,0.7953507857146281,1.6104283014612856e-09,3.069614689971481,3.159714586789827
gov,25,flores,2.1398766500107853,0.0075686091935851275,-1.361190291552844e-09,0.00025536002518674835,1.949820467222166,-0.0013186031303278434,4.820205225181243,6.1968883453703585
gov,25,bible,0.0,0.0,0.0,0.0,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,2.958987122088641,0.6379920794119617,-0.0014711992125587417,2.2673359888938833,0.7376951644200135,-1.6745445168964191e-09,3.462411151137783,3.6905483424496026
gov,50,flores,1.8956937662635107,9.685698700977399e-08,-0.6545913815831766,1.978090686631737e-05,2.4291176120255664,2.0653615936537163e-11,3.797847290878555,6.199961782194718
gov,50,bible,0.0,0.0,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,1.905649325500367,-6.945305482552292e-10,-1.4298646247048499,2.2036513796770674,2.336275353698739,0.02921062554747999,1.1739890361283392,9.747790341631593
bible,1,flores,0.0,0.0,0.0,0.0,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,1.9134898515946677,0.345070412280626,-0.00023018989338700164,2.3078694112769087,0.43578735033976773,-1.7208523465674493e-09,3.0027727429303965,3.033356366389796
bible,1,gov,0.0,0.0,0.0,0.0,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,0.0,0.0,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,2.5269603382227337,1.557081861322915e-08,-0.00015179163676050288,2.1741778686506974,0.7445650071079412,0.48419032752135044,3.443610051480202,3.485228838304931
bible,10,gov,0.0,0.0,0.0,0.0,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,0.0,0.0,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,2.899258702182694,1.3809414361584291,-4.735038663943859e-09,1.510875321136956,0.39904921762467044,0.7937346122397183,3.160812773683803,3.146280500775515
bible,25,gov,0.0,0.0,0.0,0.0,0.0,0.0,1.6792855623746665,1.6792855623746665
