model,pareto,rawlsian,1k,10k,25k,50k
linear,True,False,8.110711733308092,13.553551211184764,15.177070348918102,17.65922525803189
poly2,False,False,8.084270881976352,13.54066663859587,15.162068928869775,17.719609672010407
poly3,True,False,8.0409194877501,13.52971966652006,15.151131239840808,17.719537284110956
exp,False,False,8.050538931885438,13.555342214599833,15.18510480332694,17.861574916496952
log,False,False,8.087857182854806,13.55584340980287,15.178491554951956,17.742933181169207
power,True,False,8.099336762556657,13.541665018254871,15.162397430204754,17.666654969033104
mult,True,False,8.022272074141506,13.55375117474417,15.183393184649068,17.86151681134484
hmult,True,False,8.033202791306092,13.553394460046649,15.18577695710594,17.86676098261964
am,True,True,8.12528329829632,13.55701796621237,15.181157319230085,17.410083554884714
gm,False,False,8.12536634464707,13.557043516895437,15.181162216485571,17.413056192524802
hm,True,False,8.125356435257611,13.557133045051822,15.181093933991727,17.41569293708844
