model,mean,min,25%,50%,75%,max
linear,13.62513963786071,8.110711733308092,12.192841341715596,14.365310780051434,15.797609076196549,17.65922525803189
poly2,13.6266540303631,8.084270881976352,12.17656769944099,14.351367783732822,15.801454114654934,17.719609672010407
poly3,13.610326919555481,8.0409194877501,12.157519621827571,14.340425453180433,15.793232750908345,17.719537284110956
exp,13.66314021657729,8.050538931885438,12.179141393921235,14.370223508963386,15.854222331619443,17.861574916496952
log,13.64128133219471,8.087857182854806,12.188846853065854,14.367167482377413,15.819601961506269,17.742933181169207
power,13.617513545012347,8.099336762556657,12.181082954330318,14.352031224229812,15.788461814911841,17.666654969033104
mult,13.655233311219895,8.022272074141506,12.170881399593505,14.368572179696619,15.852924091323011,17.86151681134484
hmult,13.659783797769581,8.033202791306092,12.173346542861509,14.369585708576295,15.856022963484364,17.86676098261964
am,13.568385534655873,8.12528329829632,12.199084299233359,14.369087642721228,15.738388878143741,17.410083554884714
gm,13.56915706763822,8.12536634464707,12.199124223833344,14.369102866690504,15.739135710495379,17.413056192524802
hm,13.5698190878474,8.125356435257611,12.199188892603269,14.369113489521775,15.739743684765905,17.41569293708844
