model,mean,min,25%,50%,75%,max
linear,13.883311858786108,8.52624964698285,12.425450458209472,14.510401495486448,15.968262896063084,17.986194797188684
poly2,13.922040426672204,8.566457199596153,12.427301476405722,14.515812772948681,16.010551723215162,18.0900789611953
poly3,13.87421857025786,8.453272023563,12.398757112170706,14.529001284377948,16.0044627424651,17.985599688712536
exp,13.618089023227043,8.145238211344681,12.21561621056046,14.387027542790088,15.78950035545667,17.553062795983315
log,13.870676808691854,8.455312761286683,12.399818377595636,14.517853674907832,15.98871210600405,17.991687123665073
power,13.63626847276964,8.148540544106488,12.231893719753115,14.4112771113141,15.815651864330622,17.573979124343868
hybrid_mult,13.677824271699926,8.239083721593158,12.270837828058093,14.437055140295293,15.844041583937127,17.598103084615964
