model,multi factor,multi variable,overall linear,sliced linear
linear,297.22%,99.75%,99.23%,100.00%
poly2,298.92%,100.32%,99.80%,100.57%
poly3,298.75%,100.26%,99.74%,100.52%
exp,296.95%,99.66%,99.14%,99.91%
log,297.22%,99.75%,99.23%,100.00%
power,297.20%,99.74%,99.22%,100.00%
hmult,296.70%,99.57%,99.06%,99.83%
