model,pareto,rawlsian,1,10,25,50
linear,False,False,8.52624964698285,13.725184061951678,15.295618929021218,17.986194797188684
poly2,False,False,8.566457199596153,13.714249568675578,15.317375977221785,18.0900789611953
poly3,False,False,8.453272023563,13.713918808373275,15.34408376038262,17.985599688712536
exp,True,True,8.145238211344681,13.57240887696572,15.201646208614456,17.553062795983315
log,False,False,8.455312761286683,13.714653583031955,15.321053766783708,17.991687123665073
power,False,False,8.148540544106488,13.593011444968658,15.22954277765954,17.573979124343868
hybrid_mult,False,False,8.239083721593158,13.614755863546405,15.25935441704418,17.598103084615964
