train set,test set,c0,c1,c2,c3,c4,c5,c6,rmse,kfold rmse
gov,flores,91.07265954432219,5.96764401703414,5.999704319807168,-2.7721611731587488,-5.447194121596125,-1.5983151805378575,-5.108068841378173,4.2922680286265065,4.416266298711333
gov,bible,2627.2308017400214,5.999990231871885,6.0,-1.2529917888281281,-9.220023178643494,-4.116576986463464,-7.7667749223176985,0.7609995874833076,0.782154485836534
gov,gov,14.473310917646407,1.8359212556944873,1.5462535227803402,0.148245182734713,0.05570308575986038,-2.0331499310283387,2.169891723909217,8.631131746429755,8.857795036893686
bible,flores,19.369726880373932,5.993682165657929,5.997696229062786,-1.748059484499218,-5.781845718506163,-1.4477842033292756,-6.592897874676646,0.667665917793886,0.6982889349605309
bible,bible,13.585857641745728,1.9251318764057295,1.8451376447978178,-0.36086329576145554,-0.2489565179809665,-1.9950090252287231,2.2531404700086375,6.2524306388428315,6.501716806116188
bible,gov,803.0920475147087,5.990426376130787,5.999998230178677,-1.7632954396972047,-7.61058231745327,-4.244525658519763,-7.877575860537741,0.40770359834451225,0.4282239573813711
