train set size,test set,c0,c1,rmse,kfold rmse
1,flores,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,6.416021901568252,-1.1549158873087888e-09,8.7677537784906,9.035149579689344
1,gov,7.403971200977241,-3.645235242682977e-09,9.941289614450605,9.746527387145159
10,flores,4.562023372595457,-4.6764339727526165e-12,5.945106158099319,5.80087945504019
10,bible,12.516551928375106,-1.3687562148949213e-09,13.282650749930662,13.629769371980922
10,gov,15.678661085733832,-5.143462941716586e-09,17.108678929175177,16.955945632003424
25,flores,5.975235819269251,-1.3080330308252774e-09,6.931735551309677,6.760435250272543
25,bible,14.777711962556692,-2.996059950278192e-09,15.085203313776256,15.408157974566938
25,gov,17.651933870916487,6.200682980316234e-09,18.973752883913154,18.82596582087978
50,flores,11.896054720525253,-4.092135749769167e-09,4.122478687184812,3.575962404316731
50,bible,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,39.87318849442018,-3.582060633994039e-09,5.876609129394899,5.597735526570399
