train set size,c0,c1,c2,rmse,kfold rmse
1,1.4184019979710387,-2.126012785359152,-3.0617430494444344e-09,8.154154462460502,8.148528481194615
10,1.5738263902717835,-2.891783972118856,-3.965097085314797e-09,13.597432086559728,13.593018765461764
25,1.6560801231090818,-3.0096388961817326,-5.270876305245286e-09,15.234013942693942,15.22954338908117
50,2.013842364268852,-3.143286601883413,-5.070483141864618e-09,17.326463038689937,17.631697516664737
