train set,train set size,test set,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
gov,1,flores,30.840909363017047,-29.993090032322687,-36.422457364956834,-28.32357554300837,1.880448863619195,2.164461441931482
gov,1,bible,-616.1075980588101,2046.3350905314007,-513.556400317629,-2226.8926468944683,0.6243840780024451,0.8014300306165068
gov,1,gov,600.2856121488427,-1959.907643310696,498.67317552159534,2204.5749924429724,3.5388995220353987,4.341805043919697
gov,10,flores,-2018.1169719594807,6798.874066965534,-1725.422266368021,-7533.539596466518,1.566388142187827,1.839487768295227
gov,10,bible,-411.17419230350833,1401.0918730036428,-371.30919622403593,-1565.0991669953414,0.8054063811027261,1.1496455109816188
gov,10,gov,-1107.243708765434,3599.0328330859165,-689.8456372052813,-3854.630781893152,2.537581163148513,4.425322710688571
gov,25,flores,-1749.5948016938385,5962.395835702556,-1612.847334276805,-6545.011773127577,1.8319624747249574,3.113844701006043
gov,25,bible,-405.2777159443747,1386.692795154605,-375.5143052715309,-1542.9503225145215,1.0010019861183406,1.2883312787826238
gov,25,gov,-1686.3913582884277,5492.175842813612,-1129.6823839875526,-5879.810194504466,3.049434978191659,6.373852790923928
gov,50,flores,85.37927785965245,-79.60660436370704,-97.16095665974258,-75.48557770742894,0.1894014652160104,1.381598658476574
gov,50,bible,20.325905245199163,-20.46592437568299,-24.585399642143308,-19.01839676478322,0.09674457416315992,0.7065006295238229
gov,50,gov,-8791.79393884317,28789.74798283453,-6327.149370071389,-31809.869540188065,2.2764423009608215,27.73994175124123
bible,1,flores,6.806165353072245,-6.484052487253586,-7.911899235537436,-6.161936043218098,0.4858943640798819,0.6849358880960443
bible,1,bible,2115.678647276892,-6963.755906833746,1783.135937668059,7511.7343504798055,2.618156985495561,3.2783649306332308
bible,1,gov,5.988779604211818,-6.144116547508776,-7.383743316100931,-5.726490103092832,0.2980724185102966,0.34465885308387134
bible,10,flores,12.693396795009894,-11.815932181906115,-14.556561396639804,-11.396799737089982,0.6758516737979781,0.8177846634175185
bible,10,bible,1913.6810867663373,-6308.120985780578,1676.5474350036352,6810.535403961307,2.845551444304125,3.7326855386632074
bible,10,gov,11.072537880919475,-11.204767562652773,-13.515971230736197,-10.499263079653614,0.5210712334274404,0.5962173378114335
bible,25,flores,-696.5158860284939,2320.2646721677274,-584.6604560403607,-2523.4405502269356,0.6235659143448545,0.7478937774540138
bible,25,bible,2389.566753626313,-7870.617513546573,2077.7461061437443,8485.957367395198,2.834834665007661,3.5171727470177503
bible,25,gov,-561.7707660662808,1872.4662058672777,-472.20872054455185,-2044.0584264704278,0.5908056441432948,0.6947542834641081
