train set,train set size,test set,c0,c1,c2,c3,c4,rmse,kfold rmse
gov,1,flores,5.322821870941876,-1.3310903902792197,0.0,0.0,0.0,2.2189262184921543,2.246955905356372
gov,1,bible,-0.3099852313824596,2.080889781359249,0.0,0.0,0.0,0.7867195727560645,0.7950971247565476
gov,1,gov,-6.031430670517752,46.35366547892448,0.0,0.0,0.0,2.955043000823583,2.9744287127095395
gov,10,flores,26.037755155324252,-26.145427947457367,0.0,0.0,0.0,3.185993464188722,3.245657211094141
gov,10,bible,4.717396574942457,-4.930476412090379,0.0,0.0,0.0,1.2322756324848592,1.245383434424768
gov,10,gov,10.14005982072347,45.33809712774738,0.0,0.0,0.0,3.006723769164592,3.0365710849029743
gov,25,flores,28.807943260096618,-26.75347946339521,0.0,0.0,0.0,3.6587215735208454,3.727481466496715
gov,25,bible,4.249947379283225,-3.222555722036198,0.0,0.0,0.0,1.4094176274612027,1.4220711194541273
gov,25,gov,10.527462732965033,51.65927892778149,0.0,0.0,0.0,3.6449981201615738,3.688052694168702
gov,50,flores,50.19532264297098,-65.71487476956608,0.0,0.0,0.0,0.1909396983810122,0.2023457148318574
gov,50,bible,11.147012531002364,-16.39497191627404,0.0,0.0,0.0,0.19254220979634232,0.20404874718787513
gov,50,gov,7.515488902339525,63.56521457568622,0.0,0.0,0.0,4.192994278698801,4.443590249238556
bible,1,flores,-0.42868698190385396,3.086061322826854,0.0,0.0,0.0,0.5808867200012328,0.6166355351402997
bible,1,bible,9.25927700627344,13.908446820941046,0.0,0.0,0.0,2.726572956036885,2.75882086019584
bible,1,gov,0.42684653137481277,0.5578999393498023,0.0,0.0,0.0,0.40602177548750396,0.43505066018243455
bible,10,flores,-0.04084858771965413,4.6857949556479515,0.0,0.0,0.0,0.9143895062759749,0.9943636407034988
bible,10,bible,21.84926819305101,9.739966870499158,0.0,0.0,0.0,3.3797749682813616,3.3892012823981172
bible,10,gov,0.5585435123572644,1.68339902342692,0.0,0.0,0.0,0.7405002033405895,0.7963411421169287
bible,25,flores,1.9127270011046142,1.3024568108892127,0.0,0.0,0.0,0.8470062041782951,0.8563351720130158
bible,25,bible,22.396523878489802,17.24302040775194,0.0,0.0,0.0,3.638919366317551,3.6461979516472462
bible,25,gov,1.27339773224287,0.3804613469231938,0.0,0.0,0.0,0.7932489957576497,0.8035459561648718
