model,multi factor,multi variable,overall linear,sliced linear
linear,97.71%,98.06%,98.06%,100.00%
poly2,96.62%,96.96%,96.96%,98.88%
poly3,96.19%,96.53%,96.53%,98.44%
exp,96.59%,96.94%,96.94%,98.85%
log,95.22%,95.56%,95.56%,97.45%
power,95.34%,95.68%,95.68%,97.57%
hmult,96.76%,97.11%,97.11%,99.03%
scaling,95.19%,95.53%,95.53%,97.41%
