model,pareto,rawlsian,gov,bible
linear,False,False,14.510751451002758,12.320766659255431
poly2,False,False,14.43040936736642,12.099872578321683
poly3,False,False,14.11113668421994,12.30125921309061
exp,False,False,14.358788334291964,12.16521207003369
log,True,True,14.084621436764571,12.061572070825752
power,False,False,14.122396810964084,12.057331475027237
hmult,False,False,14.326843418367192,12.244369912601035
scaling,True,False,14.08697825644212,12.050843971656356
