train set size,language to,c0,c1,rmse,kfold rmse
1,ka,24.538066736765998,-5.317391335775171,1.6925867073977092,1.8443277706978758
1,gu,31.470284435115936,-3.7824847019877863,4.305813962518917,5.232229937375947
1,hi,36.017246131848204,-4.668422623134975,2.748368691776086,3.1585554833841614
1,si,59.5808033364283,-6.151974504728102,1.1426778551835004,1.176942801589034
1,ta,34.68053639727271,-5.132142125911965,2.720441279271029,3.1039990316179846
10,ka,45.755118570789314,-4.688586632832735,4.418113251364936,5.046882789190247
10,gu,44.7168441036326,-3.6312739595621313,5.8362599191032025,6.902435608719048
10,hi,49.8269928972617,-4.419798725200978,4.064981707958573,4.5794343774187825
10,si,75.58371385232172,-6.102004660474901,2.0614058869756446,2.212528161649835
10,ta,53.69850095103327,-5.641178497392184,2.983894682437178,3.336159202913769
25,ka,51.05220097621792,-4.615338559794336,4.78360558016993,5.45645692220378
25,gu,49.214986691986525,-3.545437227317031,6.416046406698957,7.561425950498214
25,hi,54.847965363915435,-4.392009179346002,4.312174720737593,4.814891086523572
25,si,81.71576710640569,-5.954545872872651,2.360439207939548,2.4970907450592406
25,ta,57.72035912358733,-5.4558156663594115,2.7883861884438157,3.088847404573553
50,hi,68.2172776892137,-4.311203899928255,2.7947574823082384,5.069379462625668
50,si,79.16608638536357,-4.970825379849288,1.812376444858286,3.6100087322333216
50,ta,63.61470664518283,-4.708421135653875,1.6321129050819003,2.896470539765802
