train set size,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
1,4.130706074797626,0.8212758520962976,2.3319424678045265e-07,-2.8887312240151846e-07,2.4879741598261274e-07,-4.221595494736942e-08,5.834289921411008e-06,8.535149201063591,8.492128040258914
10,10.806711287060272,-1.0323094059664926e-09,8.059953207106692e-07,-5.043417329103387e-06,7.616065520116512e-08,5.020136506028487e-07,-6.303490684991015e-07,13.781558599634048,13.666517958287368
25,11.153448700169019,2.3549728817160958,0.0012898986332285376,-4.9929790110584365e-09,-7.991481629769974e-05,0.001197979108305747,4.5771613316524404e-05,15.415862688310227,15.461914823636317
50,17.075544022695045,0.00041017674566671153,1.037437832252924e-05,-5.523346552203095e-10,5.520426083283848e-07,-3.3550224519394317e-07,-0.0005786478010210482,17.410988085467235,17.8645869211441
