train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,loo rmse
cc_align,25,gov,1,flores,-385.74719485158937,1601.781471228889,-528.5778000012207,-1644.1972483107413,35.076578958829714,-88.72225636498041,-77.10784923232455,2.284834613262379e-06,2.333345293156903
cc_align,25,gov,1,bible,-130.9928868876875,479.0562545633303,-156.77835947023067,-490.9248985878667,39.375783925742525,-19.034953212060255,-50.31214388453421,1.8451709728487409e-06,0.7067342574391092
cc_align,25,gov,1,gov,-39.93906756205127,774.3606796156365,-246.90636713701267,-776.3064096890624,-264.6482739466969,-107.04107609034456,241.5664901710993,2.6815618490628535e-06,1.0150783536677646
cc_align,25,gov,10,flores,-731.8247428777563,2525.272071651854,-839.7804553699228,-2606.4152684274504,317.256161552556,-75.10724596778773,-367.6654059511951,3.6985046465779047e-06,3.7770357439243623
cc_align,25,gov,10,bible,-30.25304731829385,284.10981571585603,-89.41248959420578,-284.0858333987492,-67.00942177717916,-36.19361378280627,51.04902387937338,1.3387876599447653e-06,0.382890785291271
cc_align,25,gov,10,gov,25.25508178766442,487.4452627338001,-159.7823455171576,-491.83326753079433,-243.6737314240442,-78.92753621315462,243.83036936670172,3.3547024200552673e-06,0.6107937058999868
cc_align,25,gov,25,flores,-775.3123607141827,2595.2617721195643,-864.8556517545237,-2682.109992171756,377.4829169193821,-64.5473128809023,-426.24847140506824,2.3397007542397732e-06,3.9013514546224517
cc_align,25,gov,25,bible,-47.89626540065998,336.6588363670313,-105.90674634232928,-337.1504293823581,-55.87283628205025,-36.548595311372516,39.1053629316441,1.8079972372188352e-07,0.4620705878205762
cc_align,25,gov,25,gov,10.625275618693134,508.28759509438186,-167.55279961144132,-514.8410196367927,-220.9433822615292,-72.39762909830212,226.48358922788975,8.446159603551914e-07,0.6490662360063528
cc_align,25,gov,50,flores,27.662246053375096,-4.738297600312006,-9.570614353614816,-7.907460878398114,2.4956313667156573,-8.998756185522362,-13.281141874910833,3.419972519198517e-08,2.0686075938127186
cc_align,25,gov,50,bible,4.790761858027361,1.7231118960774798,0.5514613657955337,-0.03489447522232193,-0.018349743358792664,-2.394691803278096,-3.415481630125408,4.951164612503222e-08,0.3835377616247971
cc_align,25,gov,50,gov,17.6310985464198,-5.330174309227555,-9.706124566555559,-8.555963992648744,20.219406022341328,20.162728953772426,18.700742411222837,1.8431684777837014e-08,3.422899564337595
cc_align,25,bible,1,flores,-57.61355879740275,323.3888328599156,-104.23162575930564,-327.7992786188444,-33.58983273959975,-28.851794926094566,20.94815838770831,3.1697144099581967e-06,0.4538475282000174
cc_align,25,bible,1,bible,248.4683047471903,-30.643244778422925,15.34159137581162,50.12539461325783,-468.2974084581007,-111.84425777108771,451.08722673689135,2.018370200867388e-06,0.21998278930079962
cc_align,25,bible,1,gov,-57.24676800876763,278.63448268426964,-91.32432480605772,-284.8439108165983,-13.759735247540167,-20.885895645420614,4.22564036348892,2.3453209125690785e-06,0.3980043634411685
cc_align,25,bible,10,flores,-146.67905439545774,566.0495699056057,-184.95086583359745,-579.1932727968651,34.05631481589655,-26.399753585580783,-48.777874980808065,2.0892221849903423e-06,0.8300329009344822
cc_align,25,bible,10,bible,373.8957242758103,-415.1542314119462,139.22086924539627,442.59181814126435,-524.2353970052269,-100.79189177816428,520.4832275143566,2.0757328659398737e-06,0.7968585512201519
cc_align,25,bible,10,gov,-136.23175551424075,570.638418558574,-186.4648733568749,-583.4116774316165,6.383095007614035,-32.62159496748169,-21.416360390888144,3.3481147208353026e-06,0.8272768391532844
cc_align,25,bible,25,flores,-139.24387549282713,527.372060770768,-171.24666446075372,-538.3247831301354,37.95809526094522,-23.403978195001834,-52.043545510718516,1.39894014237544e-06,0.7742812476239971
cc_align,25,bible,25,bible,399.296465625129,-526.1974389360923,175.03643594866878,555.6931317217549,-513.9632342491079,-91.99763323747082,514.160580218777,3.3672804939328833e-06,0.9546603995710203
cc_align,25,bible,25,gov,-144.128225366811,592.2075414944426,-193.20767244355963,-605.1756987048141,12.873140696541988,-32.42337326806751,-28.384467204638685,3.6375125171556824e-06,0.8603806688584436
cc_align,100,gov,1,flores,-349.73567433919925,1439.6514878666337,-476.1351291342908,-1479.2455348419255,44.363971560348034,-77.68507057254213,-82.60211751662474,1.854319794423807e-06,2.102133579346651
cc_align,100,gov,1,bible,-130.93486210805332,480.2777506414991,-157.47169071446422,-492.53757728118615,39.33737605929915,-19.122015483852444,-50.202284373032754,3.8241459369941974e-06,0.7087116054564598
cc_align,100,gov,1,gov,31.615096334774137,451.0517086348301,-142.61825275801021,-447.8006248939799,-249.04935612878558,-84.7617414265397,234.73490057667905,2.1102985398913085e-06,0.553554916370579
cc_align,100,gov,10,flores,-648.8637347078683,2367.727326672354,-785.531517249681,-2439.506886002989,225.18290444768155,-88.87758502571246,-277.1292098485942,2.920409674790869e-06,3.513401983793265
cc_align,100,gov,10,bible,-18.26539385015057,289.1654301824804,-90.09115645084312,-287.3607222833409,-95.34981213005966,-42.66780618451956,79.11292563268346,2.899375595463721e-06,0.37913624482209357
cc_align,100,gov,10,gov,75.3664940949164,372.627775424969,-120.2456171929075,-370.6770080210052,-290.0393407632105,-83.9582554886209,289.8467840461367,2.8462852140792252e-06,0.42606554398634544
cc_align,100,gov,25,flores,-612.2323221981547,2181.4965604961826,-724.4734564881121,-2249.1474404667965,246.58588188277662,-74.00849116020333,-294.65744678428365,3.6183067114934704e-06,3.250714903997492
cc_align,100,gov,25,bible,12.607397851821808,190.60142251158885,-56.543962074657586,-184.4638210280731,-109.70506660116882,-40.90984991244135,94.23141218579795,1.662924726978695e-06,0.2299389526189856
cc_align,100,gov,25,gov,87.73651544444373,294.99073587565636,-96.08166188101987,-293.22832359830204,-275.6183674982047,-73.3549226648524,283.52675166163726,2.681764267124488e-06,0.319210217460502
cc_align,100,gov,50,flores,30.305738678789695,-4.083845015682971,-9.383769937721999,-7.821120599925383,2.410463213443517,-10.347788429171757,-15.101350944314651,2.2586436313082533e-08,1.9873511136323663
cc_align,100,gov,50,bible,5.114048940011783,1.2456524063920513,0.0034223598926425205,-0.4618797495369352,0.563456181722184,-1.712690765855266,-2.724956202405846,1.6189444605375373e-08,0.21035840364246725
cc_align,100,gov,50,gov,16.9658339084629,-5.596485513189901,-9.872832148074565,-8.678136051556047,20.57111019422136,20.964903092622404,19.647953816701982,1.0847118107916432e-08,3.4958243127724518
cc_align,100,bible,1,flores,-60.35507107515466,317.67002543982227,-102.53034237474586,-322.3625771902281,-24.418841160286302,-26.383556878655348,12.253157597997621,1.4534045118900545e-06,0.4489168006259001
cc_align,100,bible,1,bible,251.12343181733652,-100.19190504913321,36.021487898765116,117.84034624990869,-438.35747207762705,-99.90010535236189,425.8736517272814,6.265935797712551e-07,0.30817279379742235
cc_align,100,bible,1,gov,-74.8084063418455,329.5136007840295,-108.0165109171178,-337.188159114965,-1.8335199428495181,-21.030211199983793,-8.464608217939583,6.093488515020019e-07,0.4758503404375807
