model,mean,min,25%,50%,75%,max
linear,4.308543050772668,3.3209734019956287,4.290795195651715,4.2913418961520495,4.732969393432418,4.906635366631528
poly2,3.646432284211955,3.007033658964205,3.2865843514616517,3.4959899125141547,4.078001558331974,4.364551939787791
poly3,5.014996724010328,3.869874562171515,4.176710265889192,4.466088785181196,5.423639487328529,7.138670519481211
exp,4.078685109103841,2.5836359287634068,3.187947937448204,3.957609437765812,4.663226772760213,6.001005468781568
log,4.1624239805565315,2.7191622231656085,3.4543478390438738,4.161783113277139,4.47557231917385,6.00125440812219
power,5.665918050102976,3.15194064876212,4.172997204719136,6.445932806217527,6.601096030344465,7.957623560471626
hmult,5.452136764855251,3.12741914464613,3.754163656848372,5.901008112175987,6.260286948659422,8.217805961946341
mult,5.123845032859767,2.950621264719177,3.719798254328492,5.718277229594482,5.74384633887061,7.48668207678607
am,13.043866653797238,10.977235778961449,11.636759269744427,12.287300111728058,13.600606304785426,16.717431803766825
gm,13.030524765504206,11.261447020826438,11.704155118234755,12.53611694598229,13.321679553258742,16.329225189218796
hm,7.248586841668043,6.715976407188096,6.91487468092745,7.056285313143578,7.278875746697125,8.276922060383963
diff,4.308542466600386,3.3209711753037885,4.290796179852647,4.291339523086828,4.732969783577648,4.90663567118102
linear+poly2,3.7136359679586954,3.04052437476195,3.3294214997740985,3.474106493553439,4.286012227402767,4.43811524430122
linear+poly3,3.177189649288388,2.359436690200062,3.0138485366393426,3.0321936444629403,3.4521818772131683,4.028287497926427
linear+exp,12.792959915954455,10.728507382532806,11.411595837841784,12.05262671104309,13.324338020788383,16.447731627566213
linear+log,4.193900836011037,2.712217874182394,3.3972250483077184,4.113320324953958,4.672642939011778,6.074097993599335
linear+power,5.628245761084208,3.0262506515590912,3.8475091678234383,6.300742728883389,6.629356076874325,8.337370180280795
linear+hmult,5.628245759351566,3.026250642895884,3.8475091678234383,6.300742728883389,6.629356076874325,8.337370180280795
poly2+linear,4.25316147957015,3.2620655427404044,4.070775587835839,4.316418364782185,4.677650924843649,4.938896977648675
poly2+poly3,3.5128832704164124,3.1566733746590887,3.2401345109810555,3.5140873972191278,3.747798673581898,3.905722395640893
poly2+exp,12.831264842597733,10.603752272797964,11.35083975618183,12.120395245667543,13.467704027400188,16.613632910941128
poly2+log,4.166911045591366,2.7063115371726085,3.437412418974908,4.140505185710537,4.499373425866979,6.050952660231795
