train set,test set,language to,c0,"c1,1","c1,2",rmse,kfold rmse
gov,flores,ka,0.7555495716053529,74.11117687490002,-94.44445871502674,1.4255830227683522e-05,5.636206524528728
gov,flores,gu,6.506484742108807,66.25460686740301,-78.93514724532506,1.8136822261022845e-06,4.779946740249971
gov,flores,hi,6.894952750169882,32.96900547789807,-21.068274593195934,1.1843899482590807,5.18321350344349
gov,flores,si,3.8998546563962213,24.02476023777266,-15.748610052597382,0.7187801439198561,3.1455766095749023
gov,flores,ta,2.730170801847226,18.99865896552011,-10.538112524507548,0.6334849001756263,2.772302743944878
gov,bible,ka,0.11667268539027802,9.416497107550658,-12.499594219383086,1.4813968359438631e-05,0.7389563083609305
gov,bible,gu,2.054629506281162,12.550928703985388,-14.120371535832163,6.06265033820323e-07,0.8663718204104125
gov,bible,hi,1.0701452095950765,8.565112610797186,-6.2868663956115425,0.2991722687920075,1.3092591532336124
gov,bible,si,0.21622234727145395,3.0253972189883136,-1.7580466765363343,0.09519843688524483,0.416611163459543
gov,bible,ta,0.2561926004928076,2.8979838517318046,-1.557101285771445,0.016931267066282785,0.07409739445928126
gov,gov,ka,9.156484686997837,146.0047423247602,-191.43541929603586,9.969133555377865e-06,11.339330015861186
gov,gov,gu,20.87685090739315,88.32870868825786,-108.56482374341336,6.534078728576319e-07,6.50887256660135
gov,gov,hi,20.259296654567386,52.35428610067009,-36.25741751693464,1.993257203614902,8.723038551491568
gov,gov,si,22.525682092609014,83.04556806478512,-56.60346007572303,3.0851641066257316,13.501521132108088
gov,gov,ta,20.487788860617062,60.26297633233906,-40.3777744237539,2.475319086739641,10.832673042651823
bible,flores,ka,0.306475869529025,9.92138684780575,-12.268683188241502,4.169712717129783e-06,0.7371275675653045
bible,flores,gu,1.727778839214821,13.972236784761266,-18.05559100827681,1.6926104959717509e-06,1.071966607623452
bible,flores,hi,1.3509272821611948,7.64358682062215,-9.490888656621502,5.539807133184428e-06,0.5682290425696398
bible,flores,si,0.6638897583751653,6.986113004097556,-9.027791832357202,1.1783651802136765e-06,0.5362403133958731
bible,flores,ta,0.6851867276034199,5.870351920396133,-6.481448943483601,8.808478313345763e-07,0.3999629000890568
bible,bible,ka,10.572221656550118,88.5277986026987,-106.94445508274002,4.5369767186599526e-06,6.451728668862582
bible,bible,gu,15.027777679264899,65.13888936661367,-76.38889011153327,1.125753750033384e-07,4.632647015136038
bible,bible,hi,17.221286280101676,70.55100548940656,-80.78717308391576,5.4813608173447265e-06,4.927278108893426
bible,bible,si,19.736110996164033,95.5138892683398,-115.97222331405037,1.3873086213075346e-07,6.976952534881996
bible,bible,ta,14.756481611144885,79.00462885464489,-91.43518559604314,2.1964516175452788e-07,5.567786373894884
bible,gov,ka,0.22686241120468015,3.7454611261199173,-4.398491241646362,2.0530859153764545e-05,0.2674665349189233
bible,gov,gu,1.0250192762931793,8.958559702443027,-10.41724272998591,2.8355452821675473e-05,0.6344095511138543
bible,gov,hi,0.8740762214803557,6.481489888440301,-9.25928713668698,2.0862177417356256e-06,0.5375508450535014
bible,gov,si,0.33981811866456463,3.087946083009203,-3.935166710736702,1.7846597094151945e-06,0.23444342971939122
bible,gov,ta,0.2398094021670509,3.088017007151019,-3.9353021371468926,5.095161902919736e-06,0.2345719997124495
