<<<<<<< HEAD
,models,Normality p-value,AIC of centered model,BIC of centered model
0,linear,0.014892063114496921,713.2578407341928,720.7302376309817
1,poly2,0.002848621850694278,634.8238669620147,642.2962638588036
2,poly3,3.929230733953576e-08,610.1323842855481,617.6047811823371
3,exp,0.011752058710984727,629.0986959453517,636.5710928421406
4,log,7.028969990731461e-06,622.5075770848592,629.9799739816482
5,power,6.040423149711572e-05,606.470486256848,613.9428831536369
6,mult,0.0017897353228131057,599.8384119867137,607.3108088835027
7,hybrid_mult,9.742543191409571e-08,616.150388485157,623.622785381946
8,am,0.15794422309351647,884.4498547522558,891.9222516490447
9,gm,0.1682053256946213,885.4855301195221,892.957927016311
10,hm,0.1751393449323125,890.7538015532332,898.2261984500221
=======
,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,0.014892063114496921,713.2578407341928,720.7302376309817,0.8830278370510952,0.0017539775210510848,0.014479904459990646
1,poly2,0.002848621850694278,634.8238669620147,642.2962638588036,0.9412131218559634,0.08278688065119419,0.5532319434242164
2,poly3,3.929230733953576e-08,610.1323842855481,617.6047811823371,0.9526613675477948,4.523956180176602e-08,1.275169445008137e-06
3,exp,0.011752058710984727,629.0986959453517,636.5710928421406,0.9440925373755892,7.742103819749088e-05,5.131264918082401e-05
4,log,7.028969990731461e-06,622.5075770848592,629.9799739816482,0.9472332615461037,0.65351991155431,0.8863146263543044
5,power,6.040423149711572e-05,606.470486256848,613.9428831536369,0.954157811961331,1.8424486986837698e-05,0.00010649993884096463
6,mult,0.0017897353228131057,599.8384119867137,607.3108088835027,0.9567486384736207,1.5460047241274589e-06,2.8585468723587218e-05
7,hybrid_mult,9.742543191409571e-08,616.150388485157,623.622785381946,0.9500952481137289,9.436389301872599e-07,5.944785234258472e-06
8,am,0.15794422309351647,884.4498547522558,891.9222516490447,0.47488340877081714,0.017869114865440468,0.08328751357066935
9,gm,0.1682053256946213,885.4855301195221,892.957927016311,0.4700910559482405,0.07356098198500928,0.012800809238011909
10,hm,0.1751393449323125,890.7538015532332,898.2261984500221,0.4450277594749499,0.05958526579363519,0.008198531361687307
>>>>>>> master
