model,multi factor,multi variable,overall linear,sliced linear
linear,297.31%,99.78%,99.32%,100.00%
poly2,298.82%,100.29%,99.83%,100.51%
poly3,298.77%,100.27%,99.81%,100.49%
exp,297.24%,99.76%,99.30%,99.98%
log,297.30%,99.78%,99.32%,100.00%
power,297.25%,99.76%,99.30%,99.98%
hmult,296.69%,99.57%,99.12%,99.79%
