train set,c0,c1,c2,c3,rmse,kfold rmse
gov,12.66320007833153,-4.257196632741578e-06,0.00013072089930561413,-6.071611665642245e-09,14.69128162089184,14.949659848058364
bible,6.5130272837328915,-1.6136711843700696e-09,3.236145827167375e-06,0.0022698317258379413,12.393449875740645,12.232025253273997
