model,none,lang
linear,4.876574095587376,4.308543176999883
poly2,4.660356962084067,3.641972284837563
poly3,4.450872932520613,3.0199593656719177
exp,4.864112391974694,4.0786857204567015
log,4.95018323928245,4.162423751398094
power,6.626762564737064,5.495616756357779
mult,6.101120554214193,5.1238452932557195
hmult,6.880757251599003,5.8729570915670655
am,13.231354189182692,12.770418482059174
gm,13.358915699151604,13.030524952898645
hm,13.317628330800025,12.997481173989167
diff,4.676414420559018,4.057454547545581
